iteration,loss,score,ALPHA,COV,PS,MW,MAMM,WAMM,AISL,MASE,CV%
0,COPOC,min-CPS,0.010000000000000009,0.995,7.75,6.75,1.0,1.0,7.749999999999999,0.005,0.0
0,COPOC,min-CPS,0.020000000000000018,0.98,7.2,6.2,1.0,1.0,8.199999999999998,0.02,0.0
0,COPOC,min-CPS,0.030000000000000027,0.98,6.935,5.935,1.25,2.0,7.601666666666665,0.025,0.0
0,COPOC,min-CPS,0.050000000000000044,0.98,6.81,5.81,1.25,2.0,6.81,0.025,0.0
0,COPOC,min-CPS,0.07999999999999996,0.965,6.41,5.41,1.2857142857142858,2.0,6.535,0.045,0.0
0,COPOC,min-CPS,0.09999999999999998,0.96,6.26,5.26,1.375,2.0,6.36,0.055,0.0
0,COPOC,min-CPS,0.13,0.955,5.77,4.77,1.4444444444444444,2.0,5.77,0.065,0.0
0,COPOC,min-CPS,0.15000000000000002,0.94,5.62,4.62,1.3333333333333333,2.0,5.6866666666666665,0.08,0.0
0,COPOC,min-CPS,0.18000000000000005,0.86,4.77,3.77,1.3928571428571428,3.0,5.936666666666665,0.195,0.0
0,COPOC,min-CPS,0.19999999999999996,0.86,4.725,3.725,1.4285714285714286,3.0,5.725,0.2,0.0
0,COPOC,RPS,0.010000000000000009,0.995,7.605,6.605,1.0,1.0,7.604999999999999,0.005,0.0
0,COPOC,RPS,0.020000000000000018,0.995,7.51,6.51,1.0,1.0,7.01,0.005,0.0
0,COPOC,RPS,0.030000000000000027,0.985,6.96,5.96,1.0,1.0,6.96,0.015,0.0
0,COPOC,RPS,0.050000000000000044,0.98,6.64,5.64,1.0,1.0,6.44,0.02,0.0
0,COPOC,RPS,0.07999999999999996,0.98,6.35,5.35,1.25,2.0,5.975,0.025,0.0
0,COPOC,RPS,0.09999999999999998,0.975,6.025,5.025,1.2,2.0,5.625,0.03,0.0
0,COPOC,RPS,0.13,0.96,5.54,4.54,1.375,2.0,5.386153846153847,0.055,0.0
0,COPOC,RPS,0.15000000000000002,0.935,5.15,4.15,1.2307692307692308,2.0,5.216666666666666,0.08,0.0
0,COPOC,RPS,0.18000000000000005,0.88,4.59,3.59,1.2083333333333333,3.0,5.201111111111111,0.145,0.0
0,COPOC,RPS,0.19999999999999996,0.855,4.32,3.32,1.2413793103448276,3.0,5.12,0.18,0.0
0,COPOC,OCDF,0.010000000000000009,1.0,8.655,7.655,,0.0,7.655,0.0,0.0
0,COPOC,OCDF,0.020000000000000018,0.98,8.185,7.185,1.25,2.0,9.684999999999997,0.025,0.0
0,COPOC,OCDF,0.030000000000000027,0.975,8.09,7.09,1.2,2.0,9.089999999999998,0.03,0.0
0,COPOC,OCDF,0.050000000000000044,0.965,7.9,6.9,1.2857142857142858,2.0,8.7,0.045,0.0
0,COPOC,OCDF,0.07999999999999996,0.95,7.285,6.285,1.3,2.0,7.91,0.065,0.0
0,COPOC,OCDF,0.09999999999999998,0.94,7.13,6.13,1.25,2.0,7.63,0.075,0.0
0,COPOC,OCDF,0.13,0.92,6.52,5.52,1.4375,3.0,7.289230769230769,0.115,0.0
0,COPOC,OCDF,0.15000000000000002,0.905,5.74,4.74,1.5789473684210527,3.0,6.74,0.15,0.0
0,COPOC,OCDF,0.18000000000000005,0.87,5.42,4.42,1.5384615384615385,3.0,6.642222222222221,0.2,0.0
0,COPOC,OCDF,0.19999999999999996,0.865,5.24,4.24,1.5185185185185186,3.0,6.29,0.205,0.0
0,COPOC,APS,0.010000000000000009,1.0,7.895,6.895,,0.0,6.895,0.0,0.0
0,COPOC,APS,0.020000000000000018,0.985,7.15,6.15,1.0,1.0,7.649999999999998,0.015,0.0
0,COPOC,APS,0.030000000000000027,0.98,6.91,5.91,1.0,1.0,7.243333333333332,0.02,0.0
0,COPOC,APS,0.050000000000000044,0.98,6.795,5.795,1.0,1.0,6.595,0.02,0.0
0,COPOC,APS,0.07999999999999996,0.975,6.405,5.405,1.4,2.0,6.28,0.035,0.0
0,COPOC,APS,0.09999999999999998,0.975,6.27,5.27,1.6,2.0,6.07,0.04,0.0
0,COPOC,APS,0.13,0.95,5.96,4.96,1.3,2.0,5.96,0.065,0.0
