iteration,loss,ACC,1OFF,MAE,MSE,MAE_ER,MSE_ER,QWK,AMAE,MMAE,RPS,NLL,BS,ECE,MCE,CONF_ECE,CONF_MCE,UMOD,CONF,VAR
0,COPOC,0.53,0.95,0.54,0.72,0.51,0.56,0.8192771084337349,0.6014700577200577,0.8571428571428571,0.36028871823721587,,0.5729884041132218,0.04592109791003167,0.20978269312116837,0.148225425669807,0.2097826898097992,1.0,0.6781547,0.36697157033437827
1,COPOC,0.54,0.96,0.51,0.63,0.48,0.56,0.8483389504092441,0.5681457431457432,1.0,0.35786382588031274,,0.5780880123965679,0.05093429650180042,0.2868321646343578,0.15602682693861425,0.33002108335494995,1.0,0.69602686,0.34466624476682256
2,COPOC,0.53,0.94,0.54,0.7,0.51,0.63,0.8282630029440629,0.589673520923521,1.0,0.37523307868556655,,0.5826486725400104,0.06123968477050463,0.3870901306470235,0.1648675028118305,0.46675533056259155,1.0,0.6932212,0.3402931129114773
3,COPOC,0.52,0.91,0.59,0.85,0.57,0.73,0.7841543930929405,0.6255321067821068,0.8571428571428571,0.4089630254754886,,0.5874524672095519,0.05434567152522504,0.21503459466131114,0.17078129574656487,0.24373285472393036,1.0,0.6812189,0.3550985429016138
4,COPOC,0.49,0.94,0.59,0.79,0.58,0.69,0.8058968058968059,0.6430194805194805,1.0,0.4061377020355386,,0.6376715402704227,0.0691658820025623,0.351988685131073,0.20964812487363815,0.35198867321014404,1.0,0.6880266,0.3469675025113046
5,COPOC,0.52,0.96,0.52,0.6,0.49,0.57,0.8504486540378864,0.6066738816738817,0.9090909090909091,0.3734287411339237,,0.6250424949558281,0.06794151987725248,0.2844334495695014,0.20311630703508854,0.2844334542751312,1.0,0.7162296,0.3149477527720913
6,COPOC,0.44,0.94,0.63,0.79,0.59,0.68,0.7895578050079914,0.6962391774891774,1.1428571428571428,0.43408807816153533,,0.6867419364832209,0.07543044819186132,0.5531542726925441,0.23640214430633932,0.5531542301177979,1.0,0.67640215,0.37018215558951995
7,COPOC,0.48,0.94,0.6,0.8,0.58,0.69,0.794238683127572,0.6421987734487735,0.8571428571428571,0.4069249572515713,,0.6087389742403425,0.05410368137061596,0.2801764262349982,0.1778191162738949,0.39234310388565063,1.0,0.65781903,0.37477844966388646
8,COPOC,0.5,0.94,0.58,0.78,0.58,0.67,0.8051948051948052,0.6318001443001443,0.8571428571428571,0.41604455921378064,,0.656180300857404,0.06956026607503493,0.3397852652951291,0.20157963130623102,0.33978527784347534,1.0,0.69716597,0.3589310805972346
9,COPOC,0.52,0.94,0.55,0.71,0.54,0.65,0.8197054342305738,0.6384740259740259,1.0,0.391443383495866,,0.6157687690885073,0.0578866591382151,0.2675600051879883,0.15589895145967603,0.2675600051879883,1.0,0.6758989,0.36373907360910457
10,COPOC,0.49,0.93,0.6,0.82,0.59,0.71,0.7918781725888324,0.6279581529581529,0.75,0.44084984766508606,,0.6668955101613154,0.06468720147386194,0.3398211598396301,0.19127986347302794,0.3398211598396301,1.0,0.6812799,0.3535036878092497
11,COPOC,0.5,0.96,0.54,0.62,0.51,0.58,0.8383733055265902,0.5832972582972583,0.8571428571428571,0.3784549355228656,,0.6070172901446373,0.0564568904802824,0.2671589255332947,0.18914732200209983,0.3356162905693054,1.0,0.66368794,0.3815693497857305
12,COPOC,0.51,0.97,0.53,0.63,0.51,0.52,0.8442906574394463,0.5840909090909091,0.8571428571428571,0.351233014268901,,0.5860560290345578,0.0544452021146814,0.4491484522819519,0.1979993525892496,0.4491484463214874,1.0,0.68276614,0.34150086630826754
13,COPOC,0.51,0.95,0.55,0.69,0.53,0.64,0.8317893710385178,0.5970057720057721,0.75,0.38395290625022177,,0.6271220972470243,0.054468348257554075,0.24631866216659548,0.17250057496130466,0.24631863832473755,1.0,0.67863387,0.36964590032597683
14,COPOC,0.53,0.95,0.53,0.67,0.51,0.6,0.8388648388648389,0.5463654401154401,0.9375,0.3875724696730431,,0.6110083102569548,0.06152385970888039,0.38449908243982417,0.17117352387867868,0.38449907302856445,1.0,0.6968074,0.29881481709991875
15,COPOC,0.53,0.95,0.53,0.67,0.5,0.63,0.8337468982630273,0.604004329004329,1.0,0.37873671767365197,,0.5949699928630773,0.05039547195968529,0.24151155878515806,0.16368754673749208,0.3504351079463959,1.0,0.6936876,0.3221678966261199
16,COPOC,0.49,0.95,0.57,0.71,0.56,0.64,0.8275862068965517,0.6509289321789321,1.1428571428571428,0.38262876657599415,,0.619333291435555,0.06496105706163993,0.30994996199241054,0.20309485553298146,0.3488832414150238,1.0,0.69077384,0.36480055303189823
17,COPOC,0.51,0.96,0.53,0.61,0.49,0.57,0.8412285268089537,0.6135010822510822,1.0,0.3900301801778219,,0.6166101459905048,0.051542678695792946,0.25824810908390927,0.16792187374085188,0.2873551547527313,1.0,0.67239404,0.3647360618379547
18,COPOC,0.54,0.94,0.53,0.69,0.51,0.66,0.8238897396630934,0.6089375901875902,1.0,0.38290050323251473,,0.6054381994416516,0.05140465283611168,0.2905654576089647,0.15361526323249564,0.2905654311180115,1.0,0.68138343,0.3443745497727908
19,COPOC,0.49,0.95,0.56,0.66,0.53,0.64,0.8367952522255193,0.6098033910533911,0.8125,0.39304301071664133,,0.629126611699873,0.07315465399840226,0.3748363039710305,0.22561085876077414,0.3748362958431244,1.0,0.6887863,0.34728912401652573
20,COPOC,0.53,0.94,0.55,0.75,0.54,0.68,0.8164464023494861,0.6089646464646464,0.875,0.3942622031795868,,0.6160167577769972,0.06231029203472037,0.2879587054252625,0.1655798393767327,0.28795871138572693,1.0,0.69557977,0.31477508395162457
21,COPOC,0.47,0.95,0.6,0.78,0.57,0.66,0.8069306930693069,0.643786075036075,1.0,0.3975412056700266,,0.6301053523443417,0.06533631664545585,0.343995319760364,0.22362230415455997,0.3439953327178955,1.0,0.69362235,0.3418734648952497
22,COPOC,0.48,0.93,0.61,0.83,0.57,0.68,0.7928107838242636,0.6428210678210678,1.0,0.42282953174836435,,0.6409265198451826,0.06480531707406044,0.23585425482855904,0.2039809504058212,0.4646804630756378,1.0,0.6839809,0.38318509794153166
23,COPOC,0.52,0.96,0.52,0.6,0.51,0.62,0.8553519768563163,0.5607233044733045,0.9375,0.37493634467847015,,0.6189060265436053,0.06128070702465872,0.2632122761324832,0.1883186800405383,0.6252123117446899,1.0,0.69581443,0.3133771115056921
24,COPOC,0.48,0.95,0.57,0.67,0.56,0.69,0.8207597645799893,0.6597763347763348,1.0,0.41068443341984723,,0.6553317460219386,0.06459547872344654,0.2846451004346212,0.21887546847574413,0.28464508056640625,1.0,0.69437957,0.3397025260012266
25,COPOC,0.47,0.93,0.6,0.74,0.59,0.7,0.8189823874755382,0.6516233766233767,1.0,0.4272179004386928,,0.6758452241565164,0.07260122938702504,0.4589030623435974,0.2293836569879204,0.45890307426452637,1.0,0.6993836,0.33850991351665677
26,COPOC,0.46,0.94,0.61,0.77,0.6,0.69,0.8083623693379791,0.6511273448773449,0.9375,0.4175641941112853,,0.6757107032300087,0.07352827504122009,0.3941394090652466,0.2122284341021441,0.3941394090652466,1.0,0.6722284,0.3728518090956659
27,COPOC,0.46,0.95,0.59,0.69,0.58,0.66,0.8334138097537421,0.6377344877344878,1.0,0.42242957267997383,,0.6876462432053446,0.07815681433615586,0.5325417637825012,0.23620051587931812,0.5325417518615723,1.0,0.6856423,0.3288296433586055
28,COPOC,0.5,0.94,0.57,0.73,0.54,0.66,0.8095983307250912,0.6359487734487734,1.0,0.41679425086397487,,0.6513852778314656,0.0595387933216989,0.29051282008488977,0.18474370264448225,0.2905128002166748,1.0,0.6847438,0.3597399686234681
29,COPOC,0.5,0.95,0.56,0.7,0.54,0.65,0.825,0.5994588744588745,0.8181818181818182,0.3691688110578613,,0.5958551063143797,0.05574095038386683,0.29486606401555676,0.19859410740900785,0.30179768800735474,1.0,0.6855795,0.34722601714668755
30,COPOC,0.5,0.97,0.54,0.64,0.51,0.57,0.850187265917603,0.5906114718614719,0.8125,0.35865233285786646,,0.5994198415831554,0.05683428225417933,0.2714911354215522,0.1956353384302929,0.3357035517692566,1.0,0.6956354,0.3461651819416612
31,COPOC,0.52,0.95,0.54,0.68,0.54,0.62,0.8277608915906789,0.6336129148629148,1.0,0.37047335170460216,,0.5928039482861125,0.056987648111147184,0.4249318705664741,0.17561914213001728,0.4249318838119507,1.0,0.69295764,0.29990588658099115
32,COPOC,0.54,0.92,0.56,0.8,0.52,0.67,0.8019801980198019,0.6126352813852814,1.0,0.41633010495707906,,0.6229821449583417,0.057262624921277164,0.33290367063723114,0.15764192829374224,0.3329036831855774,1.0,0.6913742,0.3554541707432879
33,COPOC,0.49,0.93,0.59,0.77,0.56,0.7,0.8093115403665181,0.6353535353535354,1.0,0.424773865151009,,0.6446691070856468,0.06194754718492428,0.30131533145904543,0.19558265013620257,0.3907966911792755,1.0,0.6767098,0.36313235585407866
34,COPOC,0.5,0.95,0.55,0.65,0.55,0.65,0.8330765279917822,0.6344336219336218,1.0,0.3860813768885777,,0.622707877723184,0.06253266783431173,0.26071139781371405,0.20548823103308678,0.2607114017009735,1.0,0.689393,0.34310728465684265
35,COPOC,0.54,0.98,0.48,0.52,0.46,0.48,0.8748796920115496,0.5334686147186147,0.8125,0.31535245407799556,,0.5623910308678379,0.04774371864895026,0.31087056795756024,0.15958024305291474,0.31087055802345276,1.0,0.69597054,0.34346680579178973
36,COPOC,0.55,0.94,0.53,0.73,0.53,0.67,0.8266033254156769,0.5372384559884561,0.6875,0.39978774194882194,,0.6066989780435966,0.05801214427376786,0.3198736111323039,0.1546730576083064,0.3198736011981964,1.0,0.70106333,0.3372418062732197
37,COPOC,0.45,0.94,0.62,0.78,0.6,0.72,0.8071216617210683,0.6668470418470417,0.8571428571428571,0.4098906737835598,,0.6436816109830166,0.0709231326325486,0.5167207036699568,0.23665918316692114,0.516720712184906,1.0,0.68665916,0.3285009112802239
38,COPOC,0.47,0.92,0.63,0.87,0.61,0.78,0.7843331680713932,0.7146915584415584,1.1428571428571428,0.44894736771223565,,0.6696798403509976,0.08049595180278023,0.5105193172182356,0.23779385164380074,0.5105193257331848,1.0,0.6825513,0.35018706313485576
39,COPOC,0.43,0.94,0.65,0.85,0.65,0.77,0.7892910262766485,0.6948953823953824,0.875,0.4315082610578923,,0.6694705771401607,0.07757005505263806,0.540690177016788,0.2595552559942007,0.5406901836395264,1.0,0.6895552,0.3695608196193194
40,COPOC,0.49,0.95,0.57,0.71,0.55,0.65,0.8184143222506394,0.650901875901876,1.1428571428571428,0.390655459268205,,0.6337380557373329,0.06983634975738823,0.3379163146018982,0.20350843260530382,0.35664674639701843,1.0,0.6898948,0.34634564038941695
41,COPOC,0.49,0.94,0.59,0.79,0.58,0.67,0.8049382716049382,0.6175955988455989,0.8125,0.4086507259232459,,0.6214133662338743,0.06048836719555159,0.2702978849411011,0.1909875082783401,0.3600667417049408,1.0,0.67887807,0.36140510909259804
42,COPOC,0.44,0.93,0.65,0.87,0.63,0.73,0.7864506627393225,0.7059613997113997,1.0,0.44582985191153357,,0.7009989364890409,0.07591248661434898,0.39092133803801105,0.24723250145325437,0.39092132449150085,1.0,0.6872325,0.3436565781026309
43,COPOC,0.53,0.96,0.52,0.64,0.5,0.57,0.8423645320197044,0.5525883838383838,0.8125,0.3764354432736663,,0.5874329934666158,0.0558657359238714,0.32036928335825604,0.1583721418865025,0.32036927342414856,1.0,0.677678,0.3457079793048689
44,COPOC,0.5,0.96,0.55,0.67,0.54,0.58,0.8317428427925666,0.6032828282828283,0.8571428571428571,0.392733198350327,,0.6423885483075777,0.06475056329121191,0.42111347730343157,0.2030626768246293,0.4211134910583496,1.0,0.67902994,0.3493823818967863
45,COPOC,0.48,0.93,0.6,0.78,0.61,0.77,0.8097560975609757,0.6495580808080809,0.8181818181818182,0.42555044252021834,,0.6542813820254184,0.06810339275747536,0.41629396544562447,0.21918428037315607,0.4162939786911011,1.0,0.6860772,0.34473033570917033
46,COPOC,0.54,0.96,0.51,0.63,0.51,0.61,0.8473097430925836,0.5803661616161616,0.8571428571428571,0.38215121223320503,,0.6197090002921947,0.05596162736105421,0.28156759341557824,0.15312026915489696,0.2815675735473633,1.0,0.6924374,0.3413381886515917
47,COPOC,0.53,0.95,0.52,0.62,0.52,0.64,0.8371848739495797,0.6040494227994228,1.0,0.3796791652351271,,0.5884043603309359,0.054779540048912174,0.3050987958908081,0.1556390170007944,0.3050988018512726,1.0,0.68563914,0.3338846870171933
48,COPOC,0.59,0.94,0.49,0.69,0.48,0.59,0.8265460030165912,0.4951028138528139,0.6875,0.34925456640780267,,0.5253809222931372,0.03613961847654234,0.16541950012508194,0.11072452063672245,0.20324110984802246,1.0,0.6954762,0.34209362137490595
49,COPOC,0.49,0.94,0.58,0.74,0.54,0.66,0.813508064516129,0.6338383838383839,1.0,0.4096742135068926,,0.6372123005228141,0.06750172566622495,0.35707930957569795,0.1951829355675727,0.35707929730415344,1.0,0.6803634,0.346813196878389
0,CrossEntropyLoss,0.61,0.94,0.46,0.62,0.44,0.53,0.8496605237633366,0.4719155844155844,0.6666666666666666,0.3236460532758165,,0.5103063519585832,0.03524515199164549,0.21782783667246503,0.09616748781991191,0.24272412061691284,0.14,0.64322466,1.1782850357148928
1,CrossEntropyLoss,0.58,0.96,0.46,0.54,0.43,0.47,0.8751156336725254,0.4816648629148628,0.8125,0.3209917944065841,,0.542438411324929,0.034212584222356485,0.34819105863571165,0.09700269321911037,0.34019935131073,0.1,0.65316087,1.156551610818039
2,CrossEntropyLoss,0.58,0.95,0.47,0.57,0.46,0.54,0.8638318203535594,0.44981962481962484,0.75,0.3199121156491033,,0.5112620925587416,0.05035176354149976,0.24623554944992065,0.12447122950106859,0.2814458906650543,0.11,0.6394589,1.1265099690209417
3,CrossEntropyLoss,0.59,0.95,0.46,0.56,0.45,0.59,0.8644724104549855,0.46497113997114,0.75,0.35567868364223576,,0.558388977935276,0.027416121624410157,0.19525822665956283,0.08355905883945525,0.2759767770767212,0.1,0.6488516,1.1574881705087943
4,CrossEntropyLoss,0.65,0.97,0.38,0.44,0.41,0.51,0.8975791433891993,0.3734307359307359,0.625,0.3212909335639079,,0.5064908055400145,0.02847878233219187,0.11572556921413968,0.09325679566245526,0.3164972960948944,0.12,0.6195843,1.1927585594433845
5,CrossEntropyLoss,0.6,0.96,0.45,0.57,0.43,0.52,0.8603625673689368,0.49527417027417026,0.75,0.3222791321286562,,0.5182581154741711,0.04808965699747205,0.24079934755961102,0.1196971177123487,0.3165241479873657,0.12,0.6439875,1.1570079594059606
6,CrossEntropyLoss,0.51,0.93,0.57,0.75,0.6,0.67,0.8191027496382055,0.5651424963924964,0.8666666666666667,0.3992788792571977,,0.6195413599296318,0.04791934262340267,0.3321170210838318,0.17285324377007782,0.3321170210838318,0.14,0.6333975,1.166671934977379
7,CrossEntropyLoss,0.63,0.95,0.42,0.52,0.43,0.58,0.8795180722891567,0.40364357864357864,0.75,0.32874367366106205,,0.5090997284292001,0.026620779993633426,0.22035154524971456,0.09280057833530009,0.22035151720046997,0.12,0.65476286,1.1164326361027215
8,CrossEntropyLoss,0.51,0.96,0.54,0.66,0.58,0.66,0.8433048433048433,0.5564123376623377,0.8125,0.4010645056291164,,0.6392866505711435,0.04412586410840351,0.2766515745057,0.16692683193832636,0.2766515612602234,0.17,0.6217543,1.2046156374100583
9,CrossEntropyLoss,0.59,0.96,0.46,0.58,0.47,0.56,0.8620361560418649,0.47545995670995667,0.8125,0.3515564339185946,,0.5673100571682061,0.04121775581190984,0.242985463142395,0.14040349586866796,0.3453097939491272,0.14,0.63563937,1.182605027476159
10,CrossEntropyLoss,0.54,0.94,0.52,0.64,0.51,0.61,0.8428290766208252,0.500487012987013,0.8,0.3812878565634184,,0.6043598755056699,0.03795001275837423,0.2221062461535136,0.12703955033794045,0.2221062183380127,0.14,0.63250846,1.154268361531949
11,CrossEntropyLoss,0.58,0.96,0.46,0.54,0.47,0.53,0.8685491723466408,0.452994227994228,0.75,0.3351202458695586,,0.5499024316997413,0.04434036772698163,0.24800598621368408,0.13619511807337403,0.3986940085887909,0.14,0.6309771,1.1604601643352939
12,CrossEntropyLoss,0.57,0.97,0.46,0.52,0.46,0.46,0.875,0.4880140692640693,0.8125,0.3364289210924445,,0.5696546844963319,0.04431975987429419,0.3435312708218893,0.12750693992711604,0.2874637246131897,0.15,0.6529121,1.125146292049742
13,CrossEntropyLoss,0.59,0.96,0.45,0.53,0.42,0.46,0.8778238819732596,0.44830447330447326,0.8,0.3255224821781668,,0.5432906644198465,0.04297021014615893,0.2586216628551483,0.1131606362760067,0.2599002718925476,0.16,0.6405896,1.1757538829728271
14,CrossEntropyLoss,0.55,0.97,0.48,0.54,0.5,0.55,0.873477038425492,0.4674512987012987,0.8125,0.35977904351628914,,0.6040302685391781,0.04084724585836132,0.3945810794830322,0.15085407318838406,0.3945810794830322,0.13,0.63635176,1.1351316864273324
15,CrossEntropyLoss,0.65,0.98,0.37,0.41,0.38,0.44,0.9079479119892232,0.3425054112554113,0.6875,0.2880899214651052,,0.47936372981380465,0.03172528523330887,0.17320535836681245,0.09066749177873135,0.2966427206993103,0.08,0.64051557,1.1538019332713343
16,CrossEntropyLoss,0.57,0.95,0.48,0.58,0.47,0.55,0.8715677590788308,0.4775974025974026,0.75,0.3525935391479102,,0.5758646491743845,0.04506482262785236,0.3230211597222548,0.140281037427485,0.32302117347717285,0.18,0.6322675,1.2085199149355577
17,CrossEntropyLoss,0.52,0.94,0.55,0.71,0.54,0.62,0.8294089380105718,0.563284632034632,0.9333333333333333,0.37623497761280866,,0.606982886862976,0.04143095544228951,0.33775702644796934,0.1476236842572689,0.33775702118873596,0.15,0.63783556,1.1537858404941377
18,CrossEntropyLoss,0.59,0.94,0.47,0.59,0.46,0.58,0.8611764705882353,0.46083152958152956,0.6875,0.3338627919937492,,0.5286545231278498,0.04350349397708971,0.3539919137954712,0.1272305800812319,0.35399192571640015,0.12,0.64279056,1.1341477105644215
19,CrossEntropyLoss,0.57,0.96,0.47,0.55,0.44,0.54,0.872626215840667,0.48156565656565653,0.75,0.3263002927322063,,0.5424693288813,0.0415849049637715,0.2520080327987671,0.11294443625956774,0.2759767472743988,0.13,0.625202,1.2487150528533828
20,CrossEntropyLoss,0.59,0.97,0.44,0.5,0.4,0.47,0.883177570093458,0.4412608225108225,0.8125,0.3320524587126318,,0.5463044606223769,0.038376083231220645,0.3947932209287371,0.0893638739362359,0.39479321241378784,0.11,0.6524603,1.1299982389995913
21,CrossEntropyLoss,0.53,0.95,0.53,0.67,0.5,0.61,0.8451225150254277,0.5103354978354978,0.875,0.3754926917868477,,0.6042765961459395,0.041608373125394185,0.2760655000096276,0.13096880144439638,0.27606549859046936,0.11,0.6385894,1.172728294276029
22,CrossEntropyLoss,0.56,0.92,0.53,0.73,0.5,0.58,0.8329519450800915,0.5103354978354978,0.875,0.3661852759753482,,0.5759528850420924,0.0406894641990463,0.21842615107695262,0.1280241166241467,0.2812252640724182,0.11,0.6375752,1.1996847681490528
23,CrossEntropyLoss,0.6,0.96,0.45,0.57,0.46,0.54,0.8657560056523788,0.45604256854256847,0.7333333333333333,0.33523844915794326,,0.5459182267592267,0.03428598625585438,0.31409114599227905,0.11581486917566508,0.31409114599227905,0.15,0.6407585,1.1640494302740167
24,CrossEntropyLoss,0.59,0.96,0.45,0.53,0.46,0.54,0.8709206039941548,0.4715638528138528,0.8125,0.3467149650290382,,0.5504665965085926,0.04374192371964455,0.17648300727208455,0.10134969896171242,0.1854642629623413,0.15,0.6284887,1.1758873838216917
25,CrossEntropyLoss,0.54,0.94,0.53,0.69,0.52,0.57,0.8413793103448276,0.5014069264069264,0.9333333333333333,0.3627051141369644,,0.5896360606205374,0.0350947163750728,0.2499084770679474,0.12483885232359171,0.2812252342700958,0.13,0.64260286,1.1753451625756164
26,CrossEntropyLoss,0.54,0.95,0.51,0.61,0.49,0.56,0.8517258142926591,0.5111020923520923,0.8125,0.35668156288207187,,0.5736517002378144,0.04538672983646392,0.237576400532442,0.13015654450282454,0.2759767472743988,0.1,0.6271987,1.1918579366395032
27,CrossEntropyLoss,0.56,0.95,0.49,0.59,0.47,0.5,0.8623425104993,0.5068362193362193,0.6666666666666666,0.3355405052618253,,0.5473241220004295,0.048876837330559884,0.3485305522169385,0.11884881055448204,0.24938231706619263,0.15,0.6378748,1.1938301582995692
28,CrossEntropyLoss,0.57,0.95,0.49,0.63,0.5,0.56,0.8490656444657403,0.467252886002886,0.7333333333333333,0.35262289640266187,,0.5657106222350714,0.04398504647115866,0.28764847150215733,0.14477037789765745,0.287648469209671,0.14,0.62668955,1.1585983692544317
29,CrossEntropyLoss,0.57,0.94,0.49,0.61,0.49,0.52,0.8580735225686366,0.5006854256854256,0.75,0.3542735221036237,,0.5854252699850525,0.044712847446401915,0.2535097599029541,0.12687908054795116,0.2535097599029541,0.1,0.62662464,1.1973788319732575
30,CrossEntropyLoss,0.58,0.95,0.48,0.62,0.44,0.49,0.8570110701107011,0.5132395382395383,0.8666666666666667,0.32018917989645795,,0.5226896890733138,0.036741684029499684,0.29966670274734497,0.11495490930974483,0.29966670274734497,0.09,0.66454107,1.1382360131306175
31,CrossEntropyLoss,0.65,0.98,0.37,0.41,0.4,0.53,0.9011095031355523,0.37670454545454546,0.6875,0.30516907430451534,,0.4877537692914554,0.02895436078310012,0.11667391482521505,0.0773359565064311,0.2966427206993103,0.14,0.64642113,1.117106512022928
32,CrossEntropyLoss,0.54,0.95,0.51,0.61,0.5,0.53,0.8579413134606427,0.4863275613275613,0.75,0.3637288502172828,,0.5843510941454598,0.04770754314959049,0.259573757648468,0.1685358826071024,0.2812252640724182,0.11,0.6408272,1.1623522510331894
33,CrossEntropyLoss,0.51,0.95,0.55,0.69,0.56,0.64,0.8385587271876462,0.5565386002886002,0.9375,0.3818556369768856,,0.6181087784782452,0.04809145013491312,0.318477988243103,0.1570285145426169,0.318477988243103,0.11,0.64152014,1.1469961251817729
34,CrossEntropyLoss,0.54,0.95,0.52,0.66,0.48,0.52,0.8447789275634996,0.5403679653679654,0.75,0.3384206825590458,,0.5459312073729968,0.057792981900274765,0.25720369815826416,0.10634047750500031,0.25720369815826416,0.12,0.624816,1.2005090147847262
35,CrossEntropyLoss,0.63,0.97,0.41,0.51,0.36,0.41,0.8806738418343473,0.4459235209235209,0.75,0.28162518520326935,,0.4760182477908155,0.030861680563539263,0.23445316583945836,0.08338536554947495,0.2721477746963501,0.12,0.65337235,1.1574106961904183
36,CrossEntropyLoss,0.61,0.94,0.46,0.62,0.46,0.55,0.8566142460684552,0.4456529581529582,0.625,0.3292393921299723,,0.5094182672334631,0.03519673084219297,0.396567097731999,0.11205419921316206,0.39656710624694824,0.17,0.6520301,1.1408399458414156
37,CrossEntropyLoss,0.61,0.94,0.46,0.62,0.47,0.58,0.8493683187560739,0.4522005772005772,0.8666666666666667,0.3411681071260916,,0.543807121592074,0.031798278521746395,0.23156292218229046,0.13048252859152853,0.2874637246131897,0.14,0.659069,1.0775419059912565
38,CrossEntropyLoss,0.61,0.95,0.44,0.54,0.42,0.54,0.8745353159851301,0.42491883116883117,0.6,0.31816310037219275,,0.5030596923274863,0.031807906137158476,0.15012153387069704,0.0696530977729708,0.1300184428691864,0.16,0.62812877,1.1632680772387558
