iteration,loss,score,ALPHA,COV,PS,MW,MAMM,WAMM,AISL,MASE,CV%
0,COPOC,min-CPS,0.010000000000000009,1.0,4.72,3.72,,0.0,3.72,0.0,0.0
0,COPOC,min-CPS,0.020000000000000018,1.0,3.78,2.78,,0.0,2.78,0.0,0.0
0,COPOC,min-CPS,0.030000000000000027,0.99,3.17,2.17,1.0,1.0,2.8366666666666664,0.01,0.0
0,COPOC,min-CPS,0.050000000000000044,0.97,2.94,1.94,1.0,1.0,3.139999999999999,0.03,0.0
0,COPOC,min-CPS,0.07999999999999996,0.95,2.68,1.68,1.0,1.0,2.930000000000001,0.05,0.0
0,COPOC,min-CPS,0.09999999999999998,0.94,2.45,1.45,1.0,1.0,2.65,0.06,0.0
0,COPOC,min-CPS,0.13,0.92,2.3,1.3,1.0,1.0,2.530769230769231,0.08,0.0
0,COPOC,min-CPS,0.15000000000000002,0.92,2.24,1.24,1.0,1.0,2.3066666666666666,0.08,0.0
0,COPOC,min-CPS,0.18000000000000005,0.89,2.12,1.12,1.0,1.0,2.3422222222222215,0.11,0.0
0,COPOC,min-CPS,0.19999999999999996,0.85,1.95,0.95,1.0,1.0,2.45,0.15,0.0
0,COPOC,RPS,0.010000000000000009,1.0,4.3,3.3,,0.0,3.3,0.0,0.0
0,COPOC,RPS,0.020000000000000018,0.99,3.76,2.76,1.0,1.0,3.759999999999999,0.01,0.0
0,COPOC,RPS,0.030000000000000027,0.99,3.66,2.66,1.0,1.0,3.326666666666666,0.01,0.0
0,COPOC,RPS,0.050000000000000044,0.96,2.94,1.94,1.0,1.0,3.5399999999999987,0.04,0.0
0,COPOC,RPS,0.07999999999999996,0.95,2.76,1.76,1.0,1.0,3.010000000000001,0.05,0.0
0,COPOC,RPS,0.09999999999999998,0.95,2.6,1.6,1.0,1.0,2.6,0.05,0.0
0,COPOC,RPS,0.13,0.9,2.14,1.14,1.1,2.0,2.832307692307692,0.11,0.0
0,COPOC,RPS,0.15000000000000002,0.89,2.09,1.09,1.0909090909090908,2.0,2.69,0.12,0.0
0,COPOC,RPS,0.18000000000000005,0.87,1.95,0.95,1.1538461538461537,2.0,2.6166666666666663,0.15,0.0
0,COPOC,RPS,0.19999999999999996,0.81,1.71,0.71,1.105263157894737,2.0,2.8100000000000005,0.21,0.0
0,COPOC,OCDF,0.010000000000000009,0.99,5.7,4.7,1.0,1.0,6.6999999999999975,0.01,0.0
0,COPOC,OCDF,0.020000000000000018,0.97,5.46,4.46,1.0,1.0,7.459999999999997,0.03,0.0
0,COPOC,OCDF,0.030000000000000027,0.95,5.29,4.29,1.0,1.0,7.62333333333333,0.05,0.0
0,COPOC,OCDF,0.050000000000000044,0.95,5.24,4.24,1.0,1.0,6.239999999999998,0.05,0.0
0,COPOC,OCDF,0.07999999999999996,0.94,4.91,3.91,1.0,1.0,5.410000000000001,0.06,0.0
0,COPOC,OCDF,0.09999999999999998,0.92,4.85,3.85,1.0,1.0,5.45,0.08,0.0
0,COPOC,OCDF,0.13,0.92,4.8,3.8,1.125,2.0,5.184615384615385,0.09,0.0
0,COPOC,OCDF,0.15000000000000002,0.88,4.54,3.54,1.0833333333333333,2.0,5.2733333333333325,0.13,0.0
0,COPOC,OCDF,0.18000000000000005,0.88,4.43,3.43,1.1666666666666667,2.0,4.985555555555555,0.14,0.0
0,COPOC,OCDF,0.19999999999999996,0.86,4.35,3.35,1.1428571428571428,2.0,4.95,0.16,0.0
0,COPOC,APS,0.010000000000000009,1.0,4.51,3.51,,0.0,3.51,0.0,0.0
0,COPOC,APS,0.020000000000000018,1.0,3.94,2.94,,0.0,2.94,0.0,0.0
0,COPOC,APS,0.030000000000000027,0.99,2.99,1.99,1.0,1.0,2.6566666666666663,0.01,0.0
0,COPOC,APS,0.050000000000000044,0.98,2.91,1.91,1.0,1.0,2.7099999999999995,0.02,0.0
0,COPOC,APS,0.07999999999999996,0.93,2.67,1.67,1.0,1.0,3.4200000000000013,0.07,0.0
0,COPOC,APS,0.09999999999999998,0.93,2.57,1.57,1.0,1.0,2.97,0.07,0.0
0,COPOC,APS,0.13,0.92,2.35,1.35,1.0,1.0,2.580769230769231,0.08,0.0
0,COPOC,APS,0.15000000000000002,0.92,2.32,1.32,1.0,1.0,2.3866666666666667,0.08,0.0
0,COPOC,APS,0.18000000000000005,0.92,2.25,1.25,1.0,1.0,2.1388888888888884,0.08,0.0
0,COPOC,APS,0.19999999999999996,0.91,2.17,1.17,1.0,1.0,2.07,0.09,0.0
0,COPOC,LAC,0.010000000000000009,1.0,4.76,3.76,,0.0,3.76,0.0,0.0
0,COPOC,LAC,0.020000000000000018,1.0,3.73,2.73,,0.0,2.73,0.0,0.0
0,COPOC,LAC,0.030000000000000027,0.98,3.05,2.05,1.0,1.0,3.3833333333333324,0.02,0.0
0,COPOC,LAC,0.050000000000000044,0.97,2.97,1.97,1.0,1.0,3.169999999999999,0.03,0.0
0,COPOC,LAC,0.07999999999999996,0.96,2.62,1.62,1.0,1.0,2.6200000000000006,0.04,0.0
0,COPOC,LAC,0.09999999999999998,0.94,2.39,1.39,1.0,1.0,2.59,0.06,0.0
0,COPOC,LAC,0.13,0.94,2.38,1.38,1.0,1.0,2.3030769230769232,0.06,0.0
0,COPOC,LAC,0.15000000000000002,0.93,2.23,1.23,1.0,1.0,2.163333333333333,0.07,0.0
0,COPOC,LAC,0.18000000000000005,0.89,2.07,1.07,1.0,1.0,2.2922222222222217,0.11,0.0
0,COPOC,LAC,0.19999999999999996,0.86,1.82,0.82,1.0714285714285714,2.0,2.32,0.15,0.0
1,COPOC,min-CPS,0.010000000000000009,0.99,3.73,2.73,1.0,1.0,4.729999999999999,0.01,0.0
1,COPOC,min-CPS,0.020000000000000018,0.99,3.2,2.2,1.0,1.0,3.199999999999999,0.01,0.0
1,COPOC,min-CPS,0.030000000000000027,0.97,3.14,2.14,1.3333333333333333,2.0,4.806666666666665,0.04,0.0
1,COPOC,min-CPS,0.050000000000000044,0.96,2.85,1.85,1.25,2.0,3.8499999999999988,0.05,0.0
1,COPOC,min-CPS,0.07999999999999996,0.96,2.66,1.66,1.25,2.0,2.9100000000000006,0.05,0.0
1,COPOC,min-CPS,0.09999999999999998,0.97,2.5,1.5,1.3333333333333333,2.0,2.3,0.04,0.0
1,COPOC,min-CPS,0.13,0.94,2.28,1.28,1.1666666666666667,2.0,2.356923076923077,0.07,0.0
1,COPOC,min-CPS,0.15000000000000002,0.93,2.25,1.25,1.1428571428571428,2.0,2.3166666666666664,0.08,0.0
1,COPOC,min-CPS,0.18000000000000005,0.89,2.11,1.11,1.0909090909090908,2.0,2.4433333333333334,0.12,0.0
1,COPOC,min-CPS,0.19999999999999996,0.89,2.01,1.01,1.0909090909090908,2.0,2.21,0.12,0.0
1,COPOC,RPS,0.010000000000000009,0.98,3.71,2.71,1.0,1.0,6.709999999999996,0.02,0.0
1,COPOC,RPS,0.020000000000000018,0.98,3.64,2.64,1.0,1.0,4.639999999999998,0.02,0.0
1,COPOC,RPS,0.030000000000000027,0.98,3.46,2.46,1.0,1.0,3.7933333333333326,0.02,0.0
1,COPOC,RPS,0.050000000000000044,0.98,3.25,2.25,1.0,1.0,3.0499999999999994,0.02,0.0
1,COPOC,RPS,0.07999999999999996,0.97,2.82,1.82,1.3333333333333333,2.0,2.8200000000000007,0.04,0.0
1,COPOC,RPS,0.09999999999999998,0.94,2.58,1.58,1.1666666666666667,2.0,2.98,0.07,0.0
1,COPOC,RPS,0.13,0.92,2.22,1.22,1.25,2.0,2.758461538461538,0.1,0.0
1,COPOC,RPS,0.15000000000000002,0.91,2.14,1.14,1.2222222222222223,2.0,2.6066666666666665,0.11,0.0
1,COPOC,RPS,0.18000000000000005,0.89,2.0,1.0,1.1818181818181819,2.0,2.444444444444444,0.13,0.0
1,COPOC,RPS,0.19999999999999996,0.89,1.98,0.98,1.1818181818181819,2.0,2.28,0.13,0.0
1,COPOC,OCDF,0.010000000000000009,0.99,5.69,4.69,1.0,1.0,6.689999999999998,0.01,0.0
1,COPOC,OCDF,0.020000000000000018,0.99,5.6,4.6,1.0,1.0,5.599999999999999,0.01,0.0
1,COPOC,OCDF,0.030000000000000027,0.99,5.42,4.42,1.0,1.0,5.086666666666666,0.01,0.0
1,COPOC,OCDF,0.050000000000000044,0.97,5.23,4.23,1.0,1.0,5.429999999999999,0.03,0.0
1,COPOC,OCDF,0.07999999999999996,0.96,4.97,3.97,1.0,1.0,4.970000000000001,0.04,0.0
1,COPOC,OCDF,0.09999999999999998,0.93,4.77,3.77,1.0,1.0,5.17,0.07,0.0
1,COPOC,OCDF,0.13,0.91,4.65,3.65,1.1111111111111112,2.0,5.188461538461538,0.1,0.0
1,COPOC,OCDF,0.15000000000000002,0.9,4.57,3.57,1.1,2.0,5.036666666666666,0.11,0.0
1,COPOC,OCDF,0.18000000000000005,0.85,4.29,3.29,1.0666666666666667,2.0,5.067777777777777,0.16,0.0
1,COPOC,OCDF,0.19999999999999996,0.85,4.28,3.28,1.0666666666666667,2.0,4.88,0.16,0.0
1,COPOC,APS,0.010000000000000009,0.99,4.01,3.01,1.0,1.0,5.009999999999998,0.01,0.0
1,COPOC,APS,0.020000000000000018,0.99,3.35,2.35,1.0,1.0,3.3499999999999988,0.01,0.0
1,COPOC,APS,0.030000000000000027,0.97,3.17,2.17,1.0,1.0,4.169999999999998,0.03,0.0
1,COPOC,APS,0.050000000000000044,0.97,3.05,2.05,1.3333333333333333,2.0,3.649999999999999,0.04,0.0
1,COPOC,APS,0.07999999999999996,0.97,2.93,1.93,1.3333333333333333,2.0,2.9300000000000006,0.04,0.0
1,COPOC,APS,0.09999999999999998,0.96,2.7,1.7,1.25,2.0,2.7,0.05,0.0
1,COPOC,APS,0.13,0.96,2.63,1.63,1.25,2.0,2.3992307692307695,0.05,0.0
1,COPOC,APS,0.15000000000000002,0.92,2.44,1.44,1.125,2.0,2.64,0.09,0.0
1,COPOC,APS,0.18000000000000005,0.92,2.38,1.38,1.125,2.0,2.38,0.09,0.0
1,COPOC,APS,0.19999999999999996,0.92,2.33,1.33,1.125,2.0,2.23,0.09,0.0
1,COPOC,LAC,0.010000000000000009,0.99,3.66,2.66,1.0,1.0,4.659999999999998,0.01,0.0
1,COPOC,LAC,0.020000000000000018,0.99,3.2,2.2,1.0,1.0,3.199999999999999,0.01,0.0
1,COPOC,LAC,0.030000000000000027,0.97,2.98,1.98,1.3333333333333333,2.0,4.646666666666665,0.04,0.0
1,COPOC,LAC,0.050000000000000044,0.96,2.8,1.8,1.25,2.0,3.7999999999999985,0.05,0.0
1,COPOC,LAC,0.07999999999999996,0.96,2.56,1.56,1.25,2.0,2.8100000000000005,0.05,0.0
1,COPOC,LAC,0.09999999999999998,0.96,2.4,1.4,1.25,2.0,2.4,0.05,0.0
1,COPOC,LAC,0.13,0.95,2.33,1.33,1.2,2.0,2.2530769230769234,0.06,0.0
1,COPOC,LAC,0.15000000000000002,0.93,2.21,1.21,1.1428571428571428,2.0,2.2766666666666664,0.08,0.0
1,COPOC,LAC,0.18000000000000005,0.92,2.12,1.12,1.125,2.0,2.12,0.09,0.0
1,COPOC,LAC,0.19999999999999996,0.9,2.05,1.05,1.1,2.0,2.15,0.11,0.0
2,COPOC,min-CPS,0.010000000000000009,1.0,4.77,3.77,,0.0,3.77,0.0,0.0
2,COPOC,min-CPS,0.020000000000000018,0.99,3.19,2.19,1.0,1.0,3.189999999999999,0.01,0.0
2,COPOC,min-CPS,0.030000000000000027,0.99,3.17,2.17,1.0,1.0,2.8366666666666664,0.01,0.0
2,COPOC,min-CPS,0.050000000000000044,0.99,3.1,2.1,1.0,1.0,2.4999999999999996,0.01,0.0
2,COPOC,min-CPS,0.07999999999999996,0.93,2.51,1.51,1.0,1.0,3.260000000000001,0.07,0.0
2,COPOC,min-CPS,0.09999999999999998,0.91,2.31,1.31,1.0,1.0,3.11,0.09,0.0
2,COPOC,min-CPS,0.13,0.9,2.2,1.2,1.1,2.0,2.8923076923076922,0.11,0.0
2,COPOC,min-CPS,0.15000000000000002,0.9,2.15,1.15,1.1,2.0,2.6166666666666663,0.11,0.0
2,COPOC,min-CPS,0.18000000000000005,0.87,1.98,0.98,1.1538461538461537,2.0,2.6466666666666665,0.15,0.0
2,COPOC,min-CPS,0.19999999999999996,0.84,1.89,0.89,1.125,2.0,2.69,0.18,0.0
2,COPOC,RPS,0.010000000000000009,1.0,4.27,3.27,,0.0,3.27,0.0,0.0
2,COPOC,RPS,0.020000000000000018,1.0,3.89,2.89,,0.0,2.89,0.0,0.0
2,COPOC,RPS,0.030000000000000027,0.98,3.44,2.44,1.0,1.0,3.7733333333333325,0.02,0.0
2,COPOC,RPS,0.050000000000000044,0.92,2.78,1.78,1.0,1.0,4.979999999999997,0.08,0.0
2,COPOC,RPS,0.07999999999999996,0.92,2.61,1.61,1.0,1.0,3.610000000000001,0.08,0.0
2,COPOC,RPS,0.09999999999999998,0.9,2.27,1.27,1.0,1.0,3.27,0.1,0.0
2,COPOC,RPS,0.13,0.89,2.17,1.17,1.0,1.0,2.8623076923076916,0.11,0.0
2,COPOC,RPS,0.15000000000000002,0.88,2.08,1.08,1.0,1.0,2.68,0.12,0.0
2,COPOC,RPS,0.18000000000000005,0.83,1.8,0.8,1.1764705882352942,2.0,3.0222222222222217,0.2,0.0
2,COPOC,RPS,0.19999999999999996,0.83,1.74,0.74,1.1764705882352942,2.0,2.7400000000000007,0.2,0.0
2,COPOC,OCDF,0.010000000000000009,0.98,5.54,4.54,1.0,1.0,8.539999999999997,0.02,0.0
2,COPOC,OCDF,0.020000000000000018,0.98,5.4,4.4,1.0,1.0,6.399999999999998,0.02,0.0
2,COPOC,OCDF,0.030000000000000027,0.97,5.38,4.38,1.0,1.0,6.379999999999999,0.03,0.0
2,COPOC,OCDF,0.050000000000000044,0.97,5.15,4.15,1.0,1.0,5.349999999999999,0.03,0.0
2,COPOC,OCDF,0.07999999999999996,0.91,4.69,3.69,1.1111111111111112,2.0,6.190000000000002,0.1,0.0
2,COPOC,OCDF,0.09999999999999998,0.87,4.51,3.51,1.0769230769230769,2.0,6.31,0.14,0.0
2,COPOC,OCDF,0.13,0.85,4.34,3.34,1.1333333333333333,2.0,5.955384615384614,0.17,0.0
2,COPOC,OCDF,0.15000000000000002,0.81,4.18,3.18,1.1578947368421053,2.0,6.113333333333332,0.22,0.0
2,COPOC,OCDF,0.18000000000000005,0.8,3.99,2.99,1.15,2.0,5.545555555555555,0.23,0.0
2,COPOC,OCDF,0.19999999999999996,0.78,3.88,2.88,1.1363636363636365,2.0,5.38,0.25,0.0
2,COPOC,APS,0.010000000000000009,1.0,4.63,3.63,,0.0,3.63,0.0,0.0
2,COPOC,APS,0.020000000000000018,0.96,3.02,2.02,1.0,1.0,6.019999999999997,0.04,0.0
2,COPOC,APS,0.030000000000000027,0.96,2.88,1.88,1.0,1.0,4.546666666666664,0.04,0.0
2,COPOC,APS,0.050000000000000044,0.94,2.73,1.73,1.0,1.0,4.129999999999998,0.06,0.0
2,COPOC,APS,0.07999999999999996,0.92,2.58,1.58,1.0,1.0,3.580000000000001,0.08,0.0
2,COPOC,APS,0.09999999999999998,0.88,2.41,1.41,1.0,1.0,3.81,0.12,0.0
2,COPOC,APS,0.13,0.83,2.07,1.08,1.2352941176470589,5.0,3.5415384615384613,0.21,0.0
2,COPOC,APS,0.15000000000000002,0.83,2.06,1.07,1.2352941176470589,5.0,3.203333333333333,0.21,0.0
2,COPOC,APS,0.18000000000000005,0.82,1.95,0.96,1.2777777777777777,5.0,2.9599999999999995,0.23,0.0
2,COPOC,APS,0.19999999999999996,0.79,1.81,0.82,1.2380952380952381,5.0,2.92,0.26,0.0
2,COPOC,LAC,0.010000000000000009,1.0,4.81,3.81,,0.0,3.81,0.0,0.0
2,COPOC,LAC,0.020000000000000018,0.99,3.17,2.17,1.0,1.0,3.169999999999999,0.01,0.0
2,COPOC,LAC,0.030000000000000027,0.99,3.11,2.11,1.0,1.0,2.7766666666666664,0.01,0.0
2,COPOC,LAC,0.050000000000000044,0.99,2.98,1.98,1.0,1.0,2.38,0.01,0.0
2,COPOC,LAC,0.07999999999999996,0.93,2.43,1.43,1.0,1.0,3.180000000000001,0.07,0.0
