iteration,loss,ACC,1OFF,MAE,MSE,MAE_ER,MSE_ER,QWK,AMAE,MMAE,RPS,NLL,BS,ECE,MCE,CONF_ECE,CONF_MCE,UMOD,CONF,VAR
0,COPOC,0.58,0.965,0.455,0.525,0.455,0.6,0.673202614379085,0.6588997065312855,1.4,0.39352445632690014,,0.6469906844281457,0.07802531988173722,0.3006913860638937,0.2201882041990757,0.32503876090049744,1.0,0.35981178,1.2825983675292638
1,COPOC,0.575,0.965,0.46,0.53,0.42,0.575,0.6964924838940587,0.6270315032595735,1.2,0.3884856784686761,,0.6470345370582128,0.0828162677437067,0.2510775195227729,0.21908713225275278,0.34590303897857666,1.0,0.35591292,1.3004874099500399
2,COPOC,0.56,0.96,0.48,0.56,0.445,0.61,0.670442842430484,0.660999614420667,1.2,0.39662916096267126,,0.6485988557283237,0.07663667050749062,0.17149146871278753,0.19682559301145375,0.252108097076416,1.0,0.36317444,1.2599187324550667
3,COPOC,0.575,0.945,0.48,0.59,0.46,0.585,0.6522866572371523,0.7179323308270676,1.6,0.3931094204283426,,0.6441368421041898,0.08696786788851023,0.18354523869661188,0.21634867042303085,0.23648351430892944,1.0,0.35865128,1.2913488079369477
4,COPOC,0.585,0.95,0.465,0.565,0.455,0.585,0.6540110226576853,0.7001190476190476,1.5,0.38986043658753133,,0.6404722558805073,0.09141806478425861,0.2062731651883376,0.22741983737796545,0.30299654603004456,1.0,0.3575802,1.2845668692098602
5,COPOC,0.625,0.965,0.41,0.48,0.46,0.62,0.7209302325581395,0.5732936507936508,1.1666666666666667,0.3939223200227831,,0.6436435001164068,0.08287474444508552,0.2060484572036846,0.2672420449089259,0.3539101779460907,1.0,0.35775787,1.2931700582918637
6,COPOC,0.61,0.97,0.42,0.48,0.455,0.595,0.6953541507996954,0.6332186948853615,1.4,0.39188739000616296,,0.6389531081424634,0.08023466441035271,0.3041146312441144,0.248268349096179,0.40872615575790405,1.0,0.36173165,1.2742376628605505
7,COPOC,0.585,0.945,0.47,0.58,0.475,0.635,0.660590455569535,0.721526412184307,1.6666666666666667,0.40839774696814735,,0.6537048746631196,0.075329131167382,0.16125748838697163,0.22745312424376607,0.285753071308136,1.0,0.35754684,1.2796416622233393
8,COPOC,0.585,0.95,0.465,0.565,0.47,0.62,0.654053392113642,0.694621650279545,1.5,0.4058745359570139,,0.6512340499791933,0.07700228472054003,0.21514266729354858,0.22736729588359594,0.30180999636650085,1.0,0.35763273,1.2802221113281909
9,COPOC,0.58,0.95,0.47,0.57,0.475,0.615,0.6552975326560233,0.6946992481203007,1.4,0.40060431406388886,,0.6530936897798145,0.08598443562164904,0.19815572532447612,0.22670158743858337,0.31308358907699585,1.0,0.35329837,1.3128606584453393
10,COPOC,0.605,0.97,0.425,0.485,0.425,0.57,0.7187264397146669,0.5687321937321939,1.1666666666666667,0.38018801870412683,,0.6360495041841439,0.08758346937596798,0.3117979083742414,0.24863243754953146,0.3117979168891907,1.0,0.35636756,1.2956045162251137
