iteration,loss,score,ALPHA,COV,PS,MW,MAMM,WAMM,AISL,MASE,CV%
0,COPOC,min-CPS,0.010000000000000009,0.995,4.39,3.39,1.0,1.0,4.389999999999999,0.005,0.0
0,COPOC,min-CPS,0.020000000000000018,0.995,4.235,3.235,1.0,1.0,3.7349999999999994,0.005,0.0
0,COPOC,min-CPS,0.030000000000000027,0.985,3.77,2.77,1.0,1.0,3.7699999999999996,0.015,0.0
0,COPOC,min-CPS,0.050000000000000044,0.965,3.335,2.335,1.0,1.0,3.734999999999999,0.035,0.0
0,COPOC,min-CPS,0.07999999999999996,0.925,2.955,1.955,1.0666666666666667,2.0,3.955000000000001,0.08,0.0
0,COPOC,min-CPS,0.09999999999999998,0.92,2.925,1.925,1.0625,2.0,3.625,0.085,0.0
0,COPOC,min-CPS,0.13,0.865,2.67,1.67,1.037037037037037,2.0,3.8238461538461537,0.14,0.0
0,COPOC,min-CPS,0.15000000000000002,0.855,2.64,1.64,1.0344827586206897,2.0,3.64,0.15,0.0
0,COPOC,min-CPS,0.18000000000000005,0.82,2.56,1.56,1.0555555555555556,2.0,3.6711111111111103,0.19,0.0
0,COPOC,min-CPS,0.19999999999999996,0.81,2.145,1.145,1.0526315789473684,2.0,3.145,0.2,0.0
0,COPOC,RPS,0.010000000000000009,0.995,3.905,2.905,1.0,1.0,3.904999999999999,0.005,0.0
0,COPOC,RPS,0.020000000000000018,0.99,3.53,2.53,1.0,1.0,3.529999999999999,0.01,0.0
0,COPOC,RPS,0.030000000000000027,0.99,3.485,2.485,1.0,1.0,3.1516666666666664,0.01,0.0
0,COPOC,RPS,0.050000000000000044,0.965,3.01,2.01,1.0,1.0,3.409999999999999,0.035,0.0
0,COPOC,RPS,0.07999999999999996,0.94,2.655,1.655,1.0833333333333333,2.0,3.280000000000001,0.065,0.0
0,COPOC,RPS,0.09999999999999998,0.915,2.3,1.3,1.0588235294117647,2.0,3.1,0.09,0.0
0,COPOC,RPS,0.13,0.88,2.1,1.1,1.0416666666666667,2.0,3.0230769230769226,0.125,0.0
0,COPOC,RPS,0.15000000000000002,0.85,1.995,0.995,1.0333333333333334,2.0,3.061666666666666,0.155,0.0
0,COPOC,RPS,0.18000000000000005,0.825,1.85,0.85,1.0571428571428572,2.0,2.9055555555555554,0.185,0.0
0,COPOC,RPS,0.19999999999999996,0.81,1.775,0.775,1.0526315789473684,2.0,2.775,0.2,0.0
0,COPOC,OCDF,0.010000000000000009,0.995,4.87,3.87,1.0,1.0,4.869999999999999,0.005,0.0
0,COPOC,OCDF,0.020000000000000018,0.985,4.27,3.27,1.0,1.0,4.769999999999999,0.015,0.0
0,COPOC,OCDF,0.030000000000000027,0.975,3.93,2.93,1.0,1.0,4.596666666666665,0.025,0.0
0,COPOC,OCDF,0.050000000000000044,0.93,3.7,2.7,1.0,1.0,5.499999999999997,0.07,0.0
0,COPOC,OCDF,0.07999999999999996,0.91,3.44,2.44,1.0555555555555556,2.0,4.815000000000001,0.095,0.0
0,COPOC,OCDF,0.09999999999999998,0.88,3.225,2.225,1.0416666666666667,2.0,4.725,0.125,0.0
0,COPOC,OCDF,0.13,0.83,2.91,1.91,1.088235294117647,2.0,4.756153846153846,0.185,0.0
0,COPOC,OCDF,0.15000000000000002,0.825,2.815,1.815,1.0857142857142856,2.0,4.348333333333333,0.19,0.0
0,COPOC,OCDF,0.18000000000000005,0.805,2.635,1.635,1.1025641025641026,2.0,4.023888888888888,0.215,0.0
0,COPOC,OCDF,0.19999999999999996,0.785,2.53,1.53,1.0930232558139534,2.0,3.88,0.235,0.0
0,COPOC,APS,0.010000000000000009,1.0,4.54,3.54,,0.0,3.54,0.0,0.0
0,COPOC,APS,0.020000000000000018,0.99,3.885,2.885,1.0,1.0,3.884999999999999,0.01,0.0
0,COPOC,APS,0.030000000000000027,0.975,3.705,2.705,1.0,1.0,4.371666666666666,0.025,0.0
0,COPOC,APS,0.050000000000000044,0.955,3.375,2.375,1.0,1.0,4.174999999999999,0.045,0.0
0,COPOC,APS,0.07999999999999996,0.925,2.735,1.735,1.0666666666666667,2.0,3.735000000000001,0.08,0.0
0,COPOC,APS,0.09999999999999998,0.895,2.545,1.545,1.0476190476190477,2.0,3.745,0.11,0.0
0,COPOC,APS,0.13,0.87,2.3,1.3,1.0384615384615385,2.0,3.376923076923077,0.135,0.0
0,COPOC,APS,0.15000000000000002,0.85,2.255,1.255,1.0333333333333334,2.0,3.3216666666666663,0.155,0.0
0,COPOC,APS,0.18000000000000005,0.79,1.91,0.91,1.0238095238095237,2.0,3.298888888888888,0.215,0.0
0,COPOC,APS,0.19999999999999996,0.755,1.74,0.74,1.0408163265306123,2.0,3.29,0.255,0.0
0,COPOC,LAC,0.010000000000000009,0.995,4.34,3.34,1.0,1.0,4.339999999999999,0.005,0.0
0,COPOC,LAC,0.020000000000000018,0.995,4.2,3.2,1.0,1.0,3.6999999999999993,0.005,0.0
0,COPOC,LAC,0.030000000000000027,0.985,3.845,2.845,1.0,1.0,3.8449999999999993,0.015,0.0
0,COPOC,LAC,0.050000000000000044,0.955,3.17,2.17,1.0,1.0,3.9699999999999984,0.045,0.0
0,COPOC,LAC,0.07999999999999996,0.895,2.485,1.485,1.0476190476190477,2.0,4.235000000000001,0.11,0.0
