iteration,loss,ACC,1OFF,MAE,MSE,MAE_ER,MSE_ER,QWK,AMAE,MMAE,RPS,NLL,BS,ECE,MCE,CONF_ECE,CONF_MCE,UMOD,CONF,VAR
0,COPOC,0.42392344497607654,0.8870813397129187,0.69377990430622,0.938755980861244,0.6794258373205742,0.9062200956937799,0.3287970798618499,0.995496939601931,1.6153846153846154,0.48267283578129455,,0.6897892412091368,0.010180417105341639,0.9512127041816711,0.029375179496128112,0.9512127041816711,1.0,0.45004082,0.8277408960777757
1,COPOC,0.40956937799043064,0.8889952153110048,0.707177033492823,0.9521531100478469,0.7033492822966507,0.9052631578947369,0.32531517519321906,0.9898373910646001,1.5535714285714286,0.4822609618605029,,0.6911323004615897,0.01868582813078136,0.25454890727996826,0.044212381180841476,0.25454890727996826,1.0,0.4495436,0.8366100756549524
2,COPOC,0.39617224880382773,0.8851674641148325,0.724401913875598,0.9770334928229665,0.7119617224880382,0.9244019138755981,0.29939687240420376,1.016479576075101,1.5897435897435896,0.48553583409800166,,0.6978877862277216,0.02225763526758509,0.9512127041816711,0.053430664469487965,0.9512127041816711,1.0,0.44960287,0.8294086704710573
3,COPOC,0.42488038277511964,0.8842105263157894,0.6947368421052632,0.9416267942583733,0.6803827751196172,0.9100478468899521,0.3241402881480703,0.9935478491674704,1.5897435897435896,0.4738729902222151,,0.6829316083123919,0.010897340051580268,0.9453829526901245,0.026000991521868855,0.9453829526901245,1.0,0.44957566,0.827460387482977
4,COPOC,0.4133971291866029,0.8851674641148325,0.7062200956937799,0.9550239234449761,0.6947368421052632,0.8995215311004785,0.315374869529255,0.9840956826585053,1.5892857142857142,0.47732665292899423,,0.6865477245664395,0.018636730686899583,0.9453829526901245,0.05157990229417919,0.9453829526901245,1.0,0.4499435,0.8286707125189173
5,COPOC,0.43444976076555025,0.8985645933014355,0.6727272727272727,0.8985645933014355,0.6574162679425838,0.8583732057416268,0.35891622931637457,0.9751334422717914,1.6153846153846154,0.4700271340017153,,0.6845509670737221,0.011480632383002055,0.9512127041816711,0.0394263567213784,0.9512127041816711,1.0,0.45029724,0.8323513764605648
6,COPOC,0.40861244019138754,0.8985645933014355,0.6976076555023923,0.9196172248803828,0.6794258373205742,0.8899521531100478,0.3502912947980993,0.9750811903049424,1.5384615384615385,0.4769798511491393,,0.6897227487140253,0.01790919357937489,0.93697190284729,0.040367730805883184,0.93697190284729,1.0,0.4486083,0.8356600752235731
7,COPOC,0.41148325358851673,0.8880382775119617,0.7052631578947368,0.9483253588516747,0.7014354066985646,0.9167464114832536,0.31384968889201037,1.014467390509266,1.6666666666666667,0.48227783791549556,,0.6924039134139693,0.017169473926273836,0.9512127041816711,0.04958361477474682,0.9512127041816711,1.0,0.44837654,0.8318902540448514
8,COPOC,0.4172248803827751,0.8928229665071771,0.6976076555023923,0.9425837320574163,0.6880382775119617,0.908133971291866,0.3300135321872739,1.0103412454995304,1.7179487179487178,0.48019000053532906,,0.6909390237931367,0.022805459157131502,0.93697190284729,0.058417220920091495,0.93697190284729,1.0,0.4501886,0.8302422826839878
9,COPOC,0.39138755980861245,0.8918660287081339,0.722488038277512,0.9617224880382775,0.7090909090909091,0.9062200956937799,0.31591906125120905,1.0120439494837086,1.6153846153846154,0.4795295402154271,,0.6943985000294413,0.024350166841271968,0.9110714197158813,0.05663074948824942,0.9110714197158813,1.0,0.4476465,0.8361436843073616
10,COPOC,0.4133971291866029,0.8870813397129187,0.7090909090909091,0.9732057416267943,0.7033492822966507,0.9320574162679426,0.31007250709393197,1.0167041425481618,1.6517857142857142,0.4833942092059977,,0.6916988792328908,0.019682822211792593,0.9712834358215332,0.042712599446531385,0.9712834358215332,1.0,0.44903487,0.8345035056145929
11,COPOC,0.3952153110047847,0.8755980861244019,0.7339712918660287,1.001913875598086,0.7177033492822966,0.937799043062201,0.2892518765610942,1.0370126147700782,1.6666666666666667,0.4874258059574079,,0.698293276130625,0.02213648324662988,0.4927930235862732,0.05615292870788835,0.4927930235862732,1.0,0.44917172,0.832561630861613
12,COPOC,0.3894736842105263,0.8928229665071771,0.723444976076555,0.9607655502392345,0.7043062200956938,0.9253588516746412,0.30799631698224716,1.0138960262783143,1.5897435897435896,0.48273274261840854,,0.6938347071263632,0.02924184446985071,0.5026485919952393,0.08409477569512092,0.5026485919952393,1.0,0.44857636,0.8283558713769974
13,COPOC,0.40574162679425835,0.8976076555023923,0.7014354066985646,0.9253588516746412,0.6851674641148325,0.8918660287081339,0.3405132890636472,0.9739949688013372,1.5089285714285714,0.4733694006604702,,0.6857199812964665,0.017739451240979885,0.7232208251953125,0.04175537347327918,0.7232208251953125,1.0,0.44749716,0.8361414975772001
14,COPOC,0.42105263157894735,0.8899521531100478,0.6956937799043063,0.9425837320574163,0.6832535885167464,0.8794258373205741,0.3383274161583554,0.9887120045630364,1.5897435897435896,0.4744768781010445,,0.6865588082034363,0.015364318571307446,0.9453829526901245,0.03309358484693803,0.9453829526901245,1.0,0.4508129,0.8345361449492342
15,COPOC,0.3990430622009569,0.8899521531100478,0.7167464114832536,0.9598086124401913,0.7062200956937799,0.8995215311004785,0.30797215078717943,1.031995321861931,1.7435897435897436,0.4846821567433612,,0.6960437741802549,0.02392905375603855,0.9453829526901245,0.051660202792845666,0.9453829526901245,1.0,0.4503313,0.830526141551927
16,COPOC,0.40669856459330145,0.8899521531100478,0.7090909090909091,0.9521531100478469,0.7023923444976077,0.908133971291866,0.31759009923993275,1.002686927433972,1.6153846153846154,0.47940211846008557,,0.6897977671606573,0.022066761055631497,0.9110714197158813,0.04816638707416132,0.9110714197158813,1.0,0.4480366,0.8339083204771891
17,COPOC,0.41148325358851673,0.8966507177033493,0.6995215311004784,0.9368421052631579,0.692822966507177,0.9052631578947369,0.3308708349275804,1.0008447684464514,1.641025641025641,0.47496542628647975,,0.6862984037161178,0.01988406228106559,0.9712834358215332,0.046445406740531325,0.9712834358215332,1.0,0.4478518,0.8315450642684786
18,COPOC,0.4,0.8918660287081339,0.7129186602870813,0.9483253588516747,0.6956937799043063,0.8813397129186603,0.3167794267543237,1.011618265671622,1.6666666666666667,0.4795342452110668,,0.6945212418335573,0.02152043907551104,0.9512127041816711,0.05556760125909932,0.9512127041816711,1.0,0.44969195,0.8241411242243342
19,COPOC,0.41913875598086126,0.8966507177033493,0.6909090909090909,0.9244019138755981,0.7014354066985646,0.9215311004784689,0.3271671261217547,0.9930508462240579,1.5897435897435896,0.47981064740581386,,0.6888919410952891,0.01783529367458307,0.93697190284729,0.045676123118028045,0.93697190284729,1.0,0.44823927,0.8372242113340903
20,COPOC,0.4258373205741627,0.8851674641148325,0.69377990430622,0.9425837320574163,0.6842105263157895,0.8918660287081339,0.32074748297290634,0.9846832203950017,1.6160714285714286,0.4784963421962864,,0.686685582037637,0.013736400165055923,0.9110714197158813,0.03995722343097441,0.9110714197158813,1.0,0.447891,0.8328777328092295
21,COPOC,0.4028708133971292,0.8861244019138756,0.7167464114832536,0.9674641148325359,0.7157894736842105,0.9521531100478469,0.30130566847805607,1.0164206560820463,1.6153846153846154,0.4899662403202834,,0.694265753222152,0.016906641129956847,0.9110714197158813,0.046690826187841594,0.9110714197158813,1.0,0.44956177,0.8285182003109028
22,COPOC,0.40574162679425835,0.8918660287081339,0.7062200956937799,0.937799043062201,0.692822966507177,0.8669856459330143,0.32666551825255197,0.9898828636356185,1.5714285714285714,0.4758412449670022,,0.6905872961141162,0.023192690535310354,0.93697190284729,0.0579320547694806,0.93697190284729,1.0,0.44891265,0.8316674191917134
23,COPOC,0.3990430622009569,0.8822966507177034,0.7253588516746412,0.9875598086124402,0.7186602870813397,0.9464114832535885,0.2958294591460421,1.027717418826415,1.625,0.4873399048038743,,0.6988456443368894,0.021365109607220843,0.93697190284729,0.05843621914027608,0.93697190284729,1.0,0.44796216,0.8365498707017675
24,COPOC,0.4105263157894737,0.8813397129186603,0.7157894736842105,0.9837320574162679,0.7138755980861244,0.9559808612440192,0.2914039207408776,1.024042354661976,1.641025641025641,0.4878231016802912,,0.6916729369591883,0.018110634418623293,0.9110714197158813,0.04876738923485391,0.9110714197158813,1.0,0.44556978,0.8430943927828992
25,COPOC,0.4200956937799043,0.8928229665071771,0.691866028708134,0.9253588516746412,0.6784688995215311,0.8679425837320575,0.34919898887439815,0.971318942024622,1.5714285714285714,0.47235631931053246,,0.6858934645504031,0.0166730628230355,0.9453829526901245,0.04375953023554757,0.9453829526901245,1.0,0.44865215,0.8391650200094436
26,COPOC,0.40861244019138754,0.8889952153110048,0.7033492822966507,0.9291866028708134,0.6909090909090909,0.8870813397129187,0.33483602876732,0.977168378049965,1.5714285714285714,0.47417213412415443,,0.6898652538866294,0.0218175865453111,0.9796944260597229,0.043620947253657505,0.9796944260597229,1.0,0.44794536,0.8372985796981057
