iteration,loss,ACC,1OFF,MAE,MSE,MAE_ER,MSE_ER,QWK,AMAE,MMAE,RPS,NLL,BS,ECE,MCE,CONF_ECE,CONF_MCE,UMOD,CONF,VAR
0,COPOC,0.43,0.885,0.685,0.915,0.535,0.575,0.3970345963756179,0.7278263339234701,1.0,0.40807610178793047,,0.671415725404473,0.05810181058943273,0.15595839420954383,0.0702452837722376,0.1559584140777588,1.0,0.35975465,1.0405797094125748
1,COPOC,0.49,0.865,0.645,0.915,0.53,0.59,0.38594725186229106,0.7593045763542101,1.2857142857142858,0.4005744540716015,,0.6616851798982138,0.05748735565692185,0.1506607333819071,0.12642708444036543,0.15066075325012207,1.0,0.36357298,1.0291553101085296
2,COPOC,0.505,0.875,0.62,0.87,0.49,0.515,0.4371118012422359,0.6424700691638794,0.8571428571428571,0.3952285672105785,,0.6539765070271983,0.07177829984575512,0.5213035941123962,0.15090942685492337,0.5213035941123962,1.0,0.35930365,1.0389582878850634
3,COPOC,0.46,0.9,0.64,0.84,0.5,0.53,0.45481096868408244,0.6586378737541528,0.8571428571428571,0.3974468900709175,,0.6586285588219835,0.06991527795791624,0.1506607333819071,0.0978741894941777,0.15066075325012207,1.0,0.36212578,1.026927972414023
4,COPOC,0.475,0.91,0.615,0.795,0.5,0.555,0.4971855037632029,0.6320752164502166,0.8333333333333334,0.39253409328040006,,0.6536947361164916,0.07951104152947665,0.11706305625008756,0.12922776490449905,0.14450469613075256,1.0,0.3576307,1.0424060835118878
5,COPOC,0.45,0.845,0.705,1.015,0.565,0.645,0.3301656437669108,0.7854572510822511,1.1666666666666667,0.41261569621316946,,0.6698489855727644,0.04990786649286745,0.48664289712905884,0.0949497816618532,0.48664289712905884,1.0,0.35959595,1.0330053318635053
6,COPOC,0.425,0.87,0.705,0.965,0.52,0.575,0.3770174306003875,0.7821893083306037,1.1666666666666667,0.39848152767017064,,0.667076172060823,0.06062857253476978,0.104984624943602,0.10750521840236615,0.1882791370153427,1.0,0.3589997,1.0470055527687534
7,COPOC,0.555,0.905,0.54,0.73,0.5,0.555,0.5020463847203274,0.6807188065099459,1.2857142857142858,0.3973615951100745,,0.650619817222232,0.08166504665277899,0.19373504028600808,0.1973010366782546,0.21084937453269958,1.0,0.36302018,1.0219825934797404
8,COPOC,0.475,0.895,0.63,0.84,0.51,0.58,0.4480946123521683,0.6931263356896268,1.0,0.3925240025030853,,0.6544673927910155,0.06723300347104666,0.1506607333819071,0.11132541066035628,0.15066075325012207,1.0,0.36367455,1.0262803968746486
9,COPOC,0.45,0.88,0.67,0.91,0.505,0.555,0.40501487462813424,0.7560112126245847,1.1428571428571428,0.39485515131128257,,0.6600608869786535,0.06990774098783731,0.12206630434906274,0.13319688543560915,0.23908337950706482,1.0,0.3603724,1.0385477149702806
10,COPOC,0.46,0.88,0.66,0.9,0.53,0.595,0.3956689608863523,0.7543190192169511,1.1666666666666667,0.40871154685468375,,0.6648492853563056,0.06475612489506603,0.1826725999514262,0.13182530493941158,0.18267259001731873,1.0,0.3594864,1.029513316173006
11,COPOC,0.42,0.9,0.68,0.88,0.52,0.555,0.42753057507155867,0.717936704714599,1.0,0.4029205662701692,,0.6685004472406011,0.07223638948053121,0.101701738092843,0.08867265870503616,0.09868967533111572,1.0,0.35767746,1.0420326468774788
12,COPOC,0.42,0.89,0.69,0.91,0.525,0.565,0.405539587143977,0.7326298701298701,1.0,0.40000341989468063,,0.6668752625660251,0.06842268403619527,0.1015907151509175,0.0772644835524261,0.10209843516349792,1.0,0.35907128,1.042540259605561
13,COPOC,0.48,0.865,0.655,0.925,0.53,0.58,0.3979824275951839,0.7662167774086379,1.2857142857142858,0.39290060393833853,,0.6582150209636787,0.0661491289921105,0.09373414972995192,0.12771143726422451,0.1605454385280609,1.0,0.36327842,1.0266237226523023
14,COPOC,0.495,0.89,0.615,0.835,0.51,0.565,0.4560260586319218,0.6730807167516029,1.0,0.3988320161508738,,0.6573960276437282,0.07339569475501777,0.1200825306244227,0.13628343454911374,0.176419198513031,1.0,0.35925078,1.0404209507999211
15,COPOC,0.48,0.9,0.62,0.82,0.47,0.485,0.4582452431289641,0.6479222701531533,0.8571428571428571,0.38628297296583225,,0.6512116861357691,0.06773386695422232,0.09686683638986335,0.1276371367275715,0.15229448676109314,1.0,0.36302498,1.020723166427012
16,COPOC,0.485,0.89,0.625,0.845,0.485,0.525,0.45798588838999355,0.6747410334097609,1.0,0.3873789679561178,,0.6497289119708805,0.07812217401340603,0.19625722848135851,0.1487729176878929,0.19625720381736755,1.0,0.36032173,1.041871447206963
17,COPOC,0.48,0.87,0.65,0.91,0.525,0.575,0.39995384260327715,0.741151261230598,1.1666666666666667,0.40700363094280534,,0.668430398899362,0.05421925386413932,0.29348255481038776,0.12908557383343577,0.29348257184028625,1.0,0.35623562,1.0455014705573256
18,COPOC,0.45,0.875,0.675,0.925,0.52,0.58,0.4002852697095436,0.7207122093023255,1.0,0.4125198104758318,,0.6731079775415129,0.049917307943105685,0.48664289712905884,0.08947287977207452,0.48664289712905884,1.0,0.36234635,1.0387718494317653
19,COPOC,0.465,0.875,0.66,0.91,0.515,0.56,0.4005270092226614,0.7020778742220767,1.0,0.40067639571351665,,0.6646236221929382,0.06199773004278541,0.08546538763451127,0.10754180145158898,0.12522241473197937,1.0,0.36049065,1.042210465788553
20,COPOC,0.465,0.88,0.655,0.895,0.545,0.615,0.3992078942068873,0.784388528138528,1.3333333333333333,0.40646985494519833,,0.6614221959496516,0.05912574776448309,0.09208078637267603,0.11840437073260546,0.12666672468185425,1.0,0.36048424,1.0311453940566675
21,COPOC,0.49,0.885,0.625,0.855,0.505,0.53,0.44179669648103426,0.6449214865288285,0.8571428571428571,0.3944533801809706,,0.6603413722983643,0.06623409297317268,0.11065241694450378,0.1310398528294172,0.1399330198764801,1.0,0.35938618,1.0412925473547114
22,COPOC,0.465,0.885,0.65,0.88,0.535,0.575,0.42498693152117106,0.7008856198717177,1.0,0.4027549900297441,,0.664240800367121,0.05880680765956641,0.09279882993016919,0.10792514988861512,0.11806106567382812,1.0,0.36217332,1.0362652157471537
23,COPOC,0.495,0.9,0.605,0.805,0.465,0.495,0.47730666839815605,0.6657061688311688,1.0,0.3834260244517256,,0.6440019761517419,0.08054708839394152,0.48664289712905884,0.134132856503129,0.48664289712905884,1.0,0.3633591,1.0319365850479287
24,COPOC,0.495,0.905,0.6,0.79,0.47,0.51,0.4866629845024204,0.7246989202657808,1.2857142857142858,0.39326731736396814,,0.6567221287468247,0.07115312152542175,0.5133571028709412,0.15649006189778447,0.5133571028709412,1.0,0.36356014,1.0349441763253595
25,COPOC,0.46,0.87,0.67,0.93,0.53,0.555,0.3951809579553214,0.7095099667774086,1.0,0.39525814591189357,,0.6591689927434962,0.07001470323652027,0.1506607333819071,0.10842325096018612,0.15066075325012207,1.0,0.3656663,1.0249041513906354
26,COPOC,0.505,0.885,0.61,0.84,0.475,0.505,0.4502617801047121,0.7008226198274922,1.1666666666666667,0.38886769063382715,,0.6536731895282338,0.07352317856624722,0.1506607333819071,0.15620638546533883,0.17895933985710144,1.0,0.36255112,1.03792397681772
27,COPOC,0.485,0.9,0.615,0.815,0.505,0.545,0.4584717607973422,0.6472690284399144,0.8571428571428571,0.3874407106599915,,0.644939538467784,0.08229099148884415,0.1506607333819071,0.12155554979108274,0.16045808792114258,1.0,0.36383972,1.0229938518807344
28,COPOC,0.465,0.885,0.65,0.88,0.545,0.585,0.42057613168724284,0.7346904595968601,1.1666666666666667,0.40673702877724416,,0.6659247490055614,0.06502092503011227,0.5054106116294861,0.11076140534714796,0.5054106116294861,1.0,0.3599153,1.0385892956741858
29,COPOC,0.505,0.895,0.6,0.81,0.495,0.565,0.4786302780638517,0.6623118161426612,1.0,0.39435796387969124,,0.6549194900418714,0.07765109745785594,0.4945893883705139,0.14557128050364554,0.4945893883705139,1.0,0.3594287,1.0377910779116082
30,COPOC,0.43,0.85,0.72,1.02,0.555,0.605,0.34119166801227185,0.7893773264828712,1.1666666666666667,0.41745785787976225,,0.6765966532796481,0.0507674241438508,0.08525282144546509,0.0822925019019749,0.1021578311920166,1.0,0.36007726,1.044946784031485
31,COPOC,0.445,0.875,0.68,0.93,0.525,0.57,0.4096549973021868,0.7452242524916943,1.1428571428571428,0.4089500719646246,,0.6733489667729695,0.053252752199769014,0.48664289712905884,0.08532828162424266,0.48664289712905884,1.0,0.3596717,1.0442626478533672
32,COPOC,0.46,0.87,0.67,0.93,0.56,0.585,0.3883389785918643,0.6724626141968806,0.9154929577464789,0.3943652445207673,,0.6576340378235175,0.07086471933871506,0.15595839420954383,0.1297538187354803,0.17335191369056702,1.0,0.35971597,1.0364021942079489
33,COPOC,0.49,0.865,0.645,0.915,0.55,0.62,0.4153354632587859,0.7232451093210586,1.1428571428571428,0.408029631251068,,0.6666186026262655,0.05862939432263374,0.09452934611228203,0.12793431323370896,0.1484924554824829,1.0,0.36259994,1.0298389560014798
34,COPOC,0.475,0.89,0.635,0.855,0.49,0.545,0.4415414761593729,0.7622638934381484,1.3333333333333333,0.3983173046965163,,0.6597424259378414,0.06755918388254942,0.48664289712905884,0.1252308450639248,0.48664289712905884,1.0,0.35920036,1.0426542886618952
