iteration,loss,score,ALPHA,COV,PS,MW,MAMM,WAMM,AISL,MASE,CV%
0,COPOC,min-CPS,0.010000000000000009,1.0,3.685,2.685,,0.0,2.685,0.0,0.0
0,COPOC,min-CPS,0.020000000000000018,0.97,2.975,1.975,1.0,1.0,4.974999999999998,0.03,0.0
0,COPOC,min-CPS,0.030000000000000027,0.97,2.975,1.975,1.0,1.0,3.9749999999999988,0.03,0.0
0,COPOC,min-CPS,0.050000000000000044,0.935,2.765,1.765,1.0,1.0,4.3649999999999975,0.065,0.0
0,COPOC,min-CPS,0.07999999999999996,0.91,2.61,1.61,1.0,1.0,3.860000000000001,0.09,0.0
0,COPOC,min-CPS,0.09999999999999998,0.895,2.48,1.48,1.0,1.0,3.58,0.105,0.0
0,COPOC,min-CPS,0.13,0.855,2.2,1.2,1.0,1.0,3.430769230769231,0.145,0.0
0,COPOC,min-CPS,0.15000000000000002,0.83,2.14,1.14,1.0,1.0,3.4066666666666663,0.17,0.0
0,COPOC,min-CPS,0.18000000000000005,0.825,2.06,1.06,1.0,1.0,3.0044444444444434,0.175,0.0
0,COPOC,min-CPS,0.19999999999999996,0.79,2.03,1.03,1.0,1.0,3.13,0.21,0.0
0,COPOC,RPS,0.010000000000000009,1.0,3.275,2.275,,0.0,2.275,0.0,0.0
0,COPOC,RPS,0.020000000000000018,1.0,3.175,2.175,,0.0,2.175,0.0,0.0
0,COPOC,RPS,0.030000000000000027,0.955,2.625,1.625,1.0,1.0,4.624999999999997,0.045,0.0
0,COPOC,RPS,0.050000000000000044,0.93,2.45,1.45,1.0,1.0,4.249999999999997,0.07,0.0
0,COPOC,RPS,0.07999999999999996,0.895,2.305,1.305,1.0,1.0,3.930000000000001,0.105,0.0
0,COPOC,RPS,0.09999999999999998,0.87,2.25,1.25,1.0,1.0,3.85,0.13,0.0
0,COPOC,RPS,0.13,0.82,2.095,1.095,1.0,1.0,3.8642307692307685,0.18,0.0
0,COPOC,RPS,0.15000000000000002,0.82,2.05,1.05,1.0,1.0,3.45,0.18,0.0
0,COPOC,RPS,0.18000000000000005,0.8,1.975,0.975,1.0,1.0,3.1972222222222215,0.2,0.0
0,COPOC,RPS,0.19999999999999996,0.795,1.9,0.9,1.0,1.0,2.95,0.205,0.0
0,COPOC,OCDF,0.010000000000000009,0.99,3.495,2.495,1.0,1.0,4.494999999999998,0.01,0.0
0,COPOC,OCDF,0.020000000000000018,0.98,3.445,2.445,1.0,1.0,4.4449999999999985,0.02,0.0
0,COPOC,OCDF,0.030000000000000027,0.96,3.365,2.365,1.0,1.0,5.0316666666666645,0.04,0.0
0,COPOC,OCDF,0.050000000000000044,0.945,3.27,2.27,1.0,1.0,4.469999999999998,0.055,0.0
0,COPOC,OCDF,0.07999999999999996,0.91,3.04,2.04,1.0,1.0,4.290000000000001,0.09,0.0
0,COPOC,OCDF,0.09999999999999998,0.895,2.97,1.97,1.0,1.0,4.07,0.105,0.0
0,COPOC,OCDF,0.13,0.87,2.56,1.56,1.0,1.0,3.56,0.13,0.0
0,COPOC,OCDF,0.15000000000000002,0.865,2.515,1.515,1.0740740740740742,2.0,3.4483333333333333,0.145,0.0
0,COPOC,OCDF,0.18000000000000005,0.845,2.4,1.4,1.096774193548387,2.0,3.288888888888888,0.17,0.0
0,COPOC,OCDF,0.19999999999999996,0.81,2.315,1.315,1.131578947368421,2.0,3.465,0.215,0.0
0,COPOC,APS,0.010000000000000009,0.99,3.405,2.405,1.0,1.0,4.4049999999999985,0.01,0.0
0,COPOC,APS,0.020000000000000018,0.97,3.1,2.1,1.0,1.0,5.099999999999998,0.03,0.0
0,COPOC,APS,0.030000000000000027,0.97,3.02,2.02,1.0,1.0,4.019999999999999,0.03,0.0
0,COPOC,APS,0.050000000000000044,0.935,2.795,1.795,1.0,1.0,4.394999999999998,0.065,0.0
0,COPOC,APS,0.07999999999999996,0.92,2.625,1.625,1.0,1.0,3.6250000000000013,0.08,0.0
0,COPOC,APS,0.09999999999999998,0.905,2.51,1.51,1.0,1.0,3.41,0.095,0.0
0,COPOC,APS,0.13,0.87,2.36,1.36,1.0,1.0,3.36,0.13,0.0
0,COPOC,APS,0.15000000000000002,0.83,2.23,1.23,1.0294117647058822,2.0,3.563333333333333,0.175,0.0
0,COPOC,APS,0.18000000000000005,0.805,2.085,1.085,1.0512820512820513,2.0,3.362777777777777,0.205,0.0
0,COPOC,APS,0.19999999999999996,0.805,2.06,1.06,1.0512820512820513,2.0,3.11,0.205,0.0
0,COPOC,LAC,0.010000000000000009,0.995,3.615,2.615,1.0,1.0,3.614999999999999,0.005,0.0
0,COPOC,LAC,0.020000000000000018,0.99,3.435,2.435,1.0,1.0,3.4349999999999987,0.01,0.0
0,COPOC,LAC,0.030000000000000027,0.97,3.145,2.145,1.0,1.0,4.144999999999999,0.03,0.0
0,COPOC,LAC,0.050000000000000044,0.955,2.995,1.995,1.0,1.0,3.794999999999999,0.045,0.0
0,COPOC,LAC,0.07999999999999996,0.885,2.495,1.495,1.0,1.0,4.370000000000001,0.115,0.0
0,COPOC,LAC,0.09999999999999998,0.88,2.3,1.3,1.0,1.0,3.7,0.12,0.0
0,COPOC,LAC,0.13,0.84,2.15,1.15,1.03125,2.0,3.6884615384615382,0.165,0.0
0,COPOC,LAC,0.15000000000000002,0.825,2.07,1.07,1.0285714285714285,2.0,3.47,0.18,0.0
0,COPOC,LAC,0.18000000000000005,0.805,1.985,0.985,1.0256410256410255,2.0,3.2072222222222218,0.2,0.0
0,COPOC,LAC,0.19999999999999996,0.8,1.965,0.965,1.025,2.0,3.015,0.205,0.0
1,COPOC,min-CPS,0.010000000000000009,1.0,3.64,2.64,,0.0,2.64,0.0,0.0
1,COPOC,min-CPS,0.020000000000000018,0.995,3.23,2.23,1.0,1.0,2.7299999999999995,0.005,0.0
1,COPOC,min-CPS,0.030000000000000027,0.975,2.99,1.99,1.0,1.0,3.656666666666666,0.025,0.0
1,COPOC,min-CPS,0.050000000000000044,0.96,2.81,1.81,1.0,1.0,3.409999999999999,0.04,0.0
1,COPOC,min-CPS,0.07999999999999996,0.925,2.61,1.61,1.0,1.0,3.485000000000001,0.075,0.0
1,COPOC,min-CPS,0.09999999999999998,0.9,2.445,1.445,1.0,1.0,3.445,0.1,0.0
1,COPOC,min-CPS,0.13,0.81,2.13,1.13,1.0,1.0,4.053076923076922,0.19,0.0
1,COPOC,min-CPS,0.15000000000000002,0.805,2.075,1.075,1.0,1.0,3.675,0.195,0.0
1,COPOC,min-CPS,0.18000000000000005,0.775,2.025,1.025,1.0,1.0,3.524999999999999,0.225,0.0
1,COPOC,min-CPS,0.19999999999999996,0.76,2.01,1.01,1.0,1.0,3.41,0.24,0.0
1,COPOC,RPS,0.010000000000000009,1.0,3.27,2.27,,0.0,2.27,0.0,0.0
1,COPOC,RPS,0.020000000000000018,0.975,2.89,1.89,1.0,1.0,4.389999999999998,0.025,0.0
1,COPOC,RPS,0.030000000000000027,0.97,2.68,1.68,1.0,1.0,3.6799999999999984,0.03,0.0
1,COPOC,RPS,0.050000000000000044,0.96,2.63,1.63,1.0,1.0,3.2299999999999986,0.04,0.0
1,COPOC,RPS,0.07999999999999996,0.935,2.46,1.46,1.0,1.0,3.0850000000000013,0.065,0.0
1,COPOC,RPS,0.09999999999999998,0.92,2.325,1.325,1.0,1.0,2.925,0.08,0.0
1,COPOC,RPS,0.13,0.92,2.28,1.28,1.0,1.0,2.5107692307692306,0.08,0.0
1,COPOC,RPS,0.15000000000000002,0.9,2.255,1.255,1.0,1.0,2.588333333333333,0.1,0.0
1,COPOC,RPS,0.18000000000000005,0.81,1.945,0.945,1.0,1.0,3.05611111111111,0.19,0.0
1,COPOC,RPS,0.19999999999999996,0.81,1.91,0.91,1.0,1.0,2.81,0.19,0.0
1,COPOC,OCDF,0.010000000000000009,0.985,3.43,2.43,1.0,1.0,5.429999999999998,0.015,0.0
1,COPOC,OCDF,0.020000000000000018,0.97,3.365,2.365,1.0,1.0,5.3649999999999975,0.03,0.0
1,COPOC,OCDF,0.030000000000000027,0.95,3.28,2.28,1.0,1.0,5.613333333333331,0.05,0.0
1,COPOC,OCDF,0.050000000000000044,0.91,3.12,2.12,1.0,1.0,5.719999999999998,0.09,0.0
1,COPOC,OCDF,0.07999999999999996,0.875,2.96,1.96,1.0,1.0,5.085000000000002,0.125,0.0
1,COPOC,OCDF,0.09999999999999998,0.865,2.75,1.75,1.0,1.0,4.45,0.135,0.0
1,COPOC,OCDF,0.13,0.845,2.515,1.515,1.064516129032258,2.0,4.053461538461538,0.165,0.0
1,COPOC,OCDF,0.15000000000000002,0.82,2.385,1.385,1.0833333333333333,2.0,3.9849999999999994,0.195,0.0
1,COPOC,OCDF,0.18000000000000005,0.8,2.28,1.28,1.1,2.0,3.724444444444444,0.22,0.0
1,COPOC,OCDF,0.19999999999999996,0.785,2.18,1.18,1.0930232558139534,2.0,3.53,0.235,0.0
1,COPOC,APS,0.010000000000000009,0.99,3.42,2.42,1.0,1.0,4.419999999999998,0.01,0.0
1,COPOC,APS,0.020000000000000018,0.985,3.16,2.16,1.0,1.0,3.659999999999999,0.015,0.0
1,COPOC,APS,0.030000000000000027,0.98,3.09,2.09,1.0,1.0,3.4233333333333325,0.02,0.0
1,COPOC,APS,0.050000000000000044,0.935,2.765,1.765,1.0,1.0,4.3649999999999975,0.065,0.0
1,COPOC,APS,0.07999999999999996,0.895,2.495,1.495,1.0,1.0,4.120000000000001,0.105,0.0
1,COPOC,APS,0.09999999999999998,0.86,2.32,1.32,1.0,1.0,4.12,0.14,0.0
1,COPOC,APS,0.13,0.845,2.24,1.24,1.0,1.0,3.6246153846153844,0.155,0.0
1,COPOC,APS,0.15000000000000002,0.82,2.075,1.075,1.0277777777777777,2.0,3.541666666666666,0.185,0.0
1,COPOC,APS,0.18000000000000005,0.79,1.995,0.995,1.0714285714285714,2.0,3.4949999999999988,0.225,0.0
1,COPOC,APS,0.19999999999999996,0.785,1.96,0.96,1.1395348837209303,2.0,3.41,0.245,0.0
1,COPOC,LAC,0.010000000000000009,0.995,3.57,2.57,1.0,1.0,3.569999999999999,0.005,0.0
1,COPOC,LAC,0.020000000000000018,0.995,3.44,2.44,1.0,1.0,2.9399999999999995,0.005,0.0
1,COPOC,LAC,0.030000000000000027,0.955,2.99,1.99,1.0,1.0,4.9899999999999975,0.045,0.0
1,COPOC,LAC,0.050000000000000044,0.935,2.835,1.835,1.0,1.0,4.434999999999998,0.065,0.0
1,COPOC,LAC,0.07999999999999996,0.86,2.265,1.265,1.0,1.0,4.7650000000000015,0.14,0.0
1,COPOC,LAC,0.09999999999999998,0.86,2.25,1.25,1.0,1.0,4.05,0.14,0.0
1,COPOC,LAC,0.13,0.845,2.18,1.18,1.0,1.0,3.5646153846153847,0.155,0.0
1,COPOC,LAC,0.15000000000000002,0.82,2.075,1.075,1.0,1.0,3.475,0.18,0.0
1,COPOC,LAC,0.18000000000000005,0.785,1.95,0.95,1.0232558139534884,2.0,3.394444444444444,0.22,0.0
1,COPOC,LAC,0.19999999999999996,0.77,1.915,0.915,1.0217391304347827,2.0,3.265,0.235,0.0
2,COPOC,min-CPS,0.010000000000000009,0.99,3.26,2.26,1.0,1.0,4.259999999999998,0.01,0.0
2,COPOC,min-CPS,0.020000000000000018,0.985,3.13,2.13,1.0,1.0,3.629999999999999,0.015,0.0
2,COPOC,min-CPS,0.030000000000000027,0.985,3.04,2.04,1.0,1.0,3.0399999999999996,0.015,0.0
2,COPOC,min-CPS,0.050000000000000044,0.95,2.81,1.81,1.0,1.0,3.8099999999999983,0.05,0.0
2,COPOC,min-CPS,0.07999999999999996,0.925,2.63,1.63,1.0,1.0,3.5050000000000012,0.075,0.0
2,COPOC,min-CPS,0.09999999999999998,0.9,2.48,1.48,1.0,1.0,3.48,0.1,0.0
2,COPOC,min-CPS,0.13,0.89,2.305,1.305,1.0454545454545454,2.0,3.074230769230769,0.115,0.0
2,COPOC,min-CPS,0.15000000000000002,0.865,2.175,1.175,1.037037037037037,2.0,3.041666666666666,0.14,0.0
2,COPOC,min-CPS,0.18000000000000005,0.85,2.1,1.1,1.0333333333333334,2.0,2.8222222222222215,0.155,0.0
