iteration,loss,ACC,1OFF,MAE,MSE,MAE_ER,MSE_ER,QWK,AMAE,MMAE,RPS,NLL,BS,ECE,MCE,CONF_ECE,CONF_MCE,UMOD,CONF,VAR
0,COPOC,0.521875,0.965625,0.5125,0.58125,0.509375,0.571875,0.46431464314643145,0.8555615559986501,1.6666666666666667,0.3719944179831332,,0.6308152830437141,0.06636478481814265,0.3812980484962464,0.14306024127290584,0.3812980651855469,1.0,0.3788147,1.023001638562349
1,COPOC,0.534375,0.96875,0.496875,0.559375,0.4875,0.578125,0.5066152149944873,0.735543466246955,1.2307692307692308,0.3697281453372221,,0.631963497301093,0.06809921578038484,0.2672434036548321,0.15437498013488948,0.2672433853149414,1.0,0.37999994,1.0263478645608703
2,COPOC,0.54375,0.96875,0.4875,0.55,0.490625,0.55,0.502060014499673,0.7956750977436075,1.3333333333333333,0.3671440449120708,,0.6244197127125457,0.07742285487242044,0.2791067702429635,0.15863111725775525,0.32017064094543457,1.0,0.38511887,1.013166826530631
3,COPOC,0.54375,0.971875,0.484375,0.540625,0.490625,0.553125,0.5346647838074104,0.7251974924585219,1.3333333333333333,0.35956303866060946,,0.6170230077382804,0.07996059929952025,0.4621931314468384,0.1646692959475331,0.4621931314468384,1.0,0.37908068,1.029763363469934
4,COPOC,0.528125,0.965625,0.50625,0.575,0.53125,0.621875,0.48459383753501406,0.8294914215686274,1.5,0.38321770940569944,,0.6364874235898806,0.06515426506055519,0.2690417170524597,0.14497087599011138,0.2690417170524597,1.0,0.38315415,1.0176296699922647
5,COPOC,0.54375,0.971875,0.484375,0.540625,0.49375,0.571875,0.5251166620916826,0.7193198529411765,1.25,0.3685885727208933,,0.6279353570449746,0.07415219803806393,0.2690417170524597,0.15812010335503146,0.3480587303638458,1.0,0.38562995,1.0128356362564752
6,COPOC,0.525,0.959375,0.515625,0.596875,0.515625,0.578125,0.44966684674950474,0.902162408759124,1.6666666666666667,0.37547055990934164,,0.6300569949957404,0.06566558394348249,0.2690417170524597,0.14303152280626819,0.2690417170524597,1.0,0.38196844,1.0125259838408969
7,COPOC,0.496875,0.971875,0.53125,0.5875,0.525,0.590625,0.49526813880126175,0.7205351480386218,1.0769230769230769,0.3745793281168063,,0.6367933969883364,0.0625754157360643,0.350338057467812,0.11825584201142192,0.35033804178237915,1.0,0.37861913,1.023284356674893
8,COPOC,0.54375,0.959375,0.496875,0.578125,0.478125,0.546875,0.5048345545183848,0.7764572273488438,1.25,0.36730825944076684,,0.6226159934781086,0.07520292018074543,0.37721574306488037,0.16218152921646833,0.37721574306488037,1.0,0.38156843,1.0262354645843945
9,COPOC,0.5875,0.96875,0.44375,0.50625,0.459375,0.525,0.5443037974683544,0.8049679487179487,1.6666666666666667,0.3623476630745163,,0.6196714625549358,0.08126043474301696,0.3711356520652771,0.21271526347845793,0.3711356520652771,1.0,0.3747847,1.0407802955185026
